season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2021,03/18,NCAA Championships,125,L,MD,10 - 0,Trevor Mastrogiovanni,57608,Oklahoma State,Brandon Kaylor,51198,Oregon State
2021,03/18,NCAA Championships,125,L,FALL,2:40,Brody Teske,52779,Northern Iowa,Brandon Kaylor,51198,Oregon State
2021,02/28,PAC 12 Championships,125,L,DEC,7 - 3,Jackson DiSario,57126,Stanford,Brandon Kaylor,51198,Oregon State
2021,02/28,PAC 12 Championships,125,W,INJ,7:00,Khyler Brewer,67052,Little Rock,Brandon Kaylor,51198,Oregon State
2021,02/28,PAC 12 Championships,125,W,MD,12 - 3,Eddie Flores,51127,CSU Bakersfield,Brandon Kaylor,51198,Oregon State
2021,02/28,PAC 12 Championships,125,W,DEC,3 - 1,Antonio Lorenzo,57329,Cal Poly,Brandon Kaylor,51198,Oregon State
2021,02/07,Oregon State Utah Valley Extra,125,W,FALL,5:36,Kase Mauger,65846,Utah Valley,Brandon Kaylor,51198,Oregon State
2021,02/07,Stanford - Oregon State Dual,125,L,DEC,7 - 2,Jackson DiSario,57126,Stanford,Brandon Kaylor,51198,Oregon State
2021,02/07,Utah Valley - Oregon State Dual,125,L,MD,19 - 5,Taylor LaMont,44777,Utah Valley,Brandon Kaylor,51198,Oregon State
2021,01/14,Oregon State - Cal Poly Dual,125,W,DEC,10 - 6,Antonio Lorenzo,57329,Cal Poly,Brandon Kaylor,51198,Oregon State
2021,01/10,Oregon State - Oklahoma State Dual,125,L,DEC,7 - 4,Trevor Mastrogiovanni,57608,Oklahoma State,Brandon Kaylor,51198,Oregon State
2021,01/10,Oregon State - Little Rock Dual,125,W,MD,11 - 3,Khyler Brewer,67052,Little Rock,Brandon Kaylor,51198,Oregon State
2021,01/03,Missouri - Oregon State Dual,125,L,DEC,8 - 6,Connor Brown,49321,Missouri,Brandon Kaylor,51198,Oregon State
2021,01/03,South Dakota State - Oregon State Dual,125,W,DEC,9 - 5,Danny Vega,45142,South Dakota State,Brandon Kaylor,51198,Oregon State
2021,01/03,Oregon State - North Dakota State Dual,125,W,DEC,9 - 6,Ryan Henningson,67078,North Dakota State,Brandon Kaylor,51198,Oregon State
2021,02/07,Oregon State Utah Valley Extra,125,L,FALL,4:53,Kase Mauger,65846,Utah Valley,Kade Uyesaka,62938,Oregon State
2021,03/18,NCAA Championships,133,L,DEC,3 - 1,Lucas Byrd,56714,Illinois,Devan Turner,45397,Oregon State
2021,03/18,NCAA Championships,133,W,DEC,4 - 3,Kyle Burwick,57385,Wisconsin,Devan Turner,45397,Oregon State
2021,03/18,NCAA Championships,133,W,MD,10 - 2,Cole Rhone,62773,Bloomsburg,Devan Turner,45397,Oregon State
2021,03/18,NCAA Championships,133,L,MD,8 - 0,Malyke Hines,56932,Lehigh,Devan Turner,45397,Oregon State
2021,02/28,PAC 12 Championships,133,W,TB-1,4 - 3,Jason Miranda,64654,Stanford,Devan Turner,45397,Oregon State
2021,02/28,PAC 12 Championships,133,W,DEC,3 - 1,Chance Rich,50933,CSU Bakersfield,Devan Turner,45397,Oregon State
2021,02/07,Stanford - Oregon State Dual,133,W,MD,12 - 4,Jason Miranda,64654,Stanford,Devan Turner,45397,Oregon State
2021,02/07,Utah Valley - Oregon State Dual,133,L,DEC,4 - 1,Ty Smith,52110,Utah Valley,Devan Turner,45397,Oregon State
