season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2025,03/20,NCAA Championships,125,W,FALL,6:18,Matt Ramos,57134,Purdue,Luke Lilledahl,80223,Penn State
2025,03/20,NCAA Championships,125,W,SV-1,4 - 1,Eddie Ventresca,62357,Virginia Tech,Luke Lilledahl,80223,Penn State
2025,03/20,NCAA Championships,125,W,DEC,3 - 0,Stevo Poulin,71929,Northern Colorado,Luke Lilledahl,80223,Penn State
2025,03/20,NCAA Championships,125,W,DEC,7 - 3,Nicolar Rivera,78438,Wisconsin,Luke Lilledahl,80223,Penn State
2025,03/20,NCAA Championships,125,L,TB-3,3 - 2,Sheldon Seymour,62339,Lehigh,Luke Lilledahl,80223,Penn State
2025,03/20,NCAA Championships,125,W,TF5,19 - 3 6:53,Blake West,73337,Northern Illinois,Luke Lilledahl,80223,Penn State
2025,03/20,NCAA Championships,125,W,TF5,19 - 4 4:25,Marcello Milani,78106,Cornell,Luke Lilledahl,80223,Penn State
2025,03/08,Big Ten Championships,125,W,DEC,4 - 3,Caleb Smith,58559,Nebraska,Luke Lilledahl,80223,Penn State
2025,03/08,Big Ten Championships,125,W,MD,12 - 4,Matt Ramos,57134,Purdue,Luke Lilledahl,80223,Penn State
2025,03/08,Big Ten Championships,125,W,MD,11 - 1,Joey Cruz,73188,Iowa,Luke Lilledahl,80223,Penn State
2025,03/08,Big Ten Championships,125,W,FALL,4:09,Caelan Riley,73733,Illinois,Luke Lilledahl,80223,Penn State
2025,02/21,American - Penn State Dual,125,W,TF5,20 - 3 5:11,Coen Bainey,78808,American,Luke Lilledahl,80223,Penn State
2025,02/16,Penn State - Illinois Dual,125,W,TF5,19 - 4 4:19,Caelan Riley,73733,Illinois,Luke Lilledahl,80223,Penn State
2025,02/14,Penn State - Ohio State Dual,125,L,FALL,3:58,Brendan McCrone,76350,Ohio State,Luke Lilledahl,80223,Penn State
2025,02/09,Maryland - Penn State Dual,125,W,TF5,20 - 4 3:42,Tyler Garvin,84590,Maryland,Luke Lilledahl,80223,Penn State
2025,02/07,Michigan - Penn State Dual,125,W,FALL,5:38,Christian Tanefeu,73460,Michigan,Luke Lilledahl,80223,Penn State
2025,01/31,Iowa - Penn State Dual,125,W,TF5,22 - 6 6:43,Joey Cruz,73188,Iowa,Luke Lilledahl,80223,Penn State
2025,01/24,Penn State - Rutgers Dual,125,L,DEC,4 - 1,Dean Peterson,72936,Rutgers,Luke Lilledahl,80223,Penn State
2025,01/17,Penn State - Nebraska Dual,125,W,DEC,4 - 2,Caleb Smith,58559,Nebraska,Luke Lilledahl,80223,Penn State
2025,01/10,Michigan State - Penn State Dual,125,W,TF5,19 - 2 6:08,Nick Corday,70986,Michigan State,Luke Lilledahl,80223,Penn State
2025,12/22,Penn State - Missouri Dual,125,W,DEC,5 - 4,Gage Walker,84476,Missouri,Luke Lilledahl,80223,Penn State
2025,12/22,Penn State - Binghamton Dual,125,W,TF5,19 - 4 5:37,Carson Wagner,78720,Binghamton,Luke Lilledahl,80223,Penn State
2025,12/22,Little Rock - Penn State Dual,125,W,DEC,9 - 3,Jayden Carson,62838,Little Rock,Luke Lilledahl,80223,Penn State
2025,12/15,Wyoming - Penn State Dual,125,W,TF5,20 - 5 4:25,John Braman,92867,Wyoming,Luke Lilledahl,80223,Penn State
2025,12/08,Penn State - Lehigh Dual,125,W,DEC,4 - 1,Sheldon Seymour,62339,Lehigh,Luke Lilledahl,80223,Penn State
2025,11/24,Black Knight Invite,125,W,TF5,19 - 4 5:38,Jeffrey Jacome,73699,Gardner-Webb,Luke Lilledahl,80223,Penn State
2025,11/24,Black Knight Invite,125,W,DEC,8 - 2,Kurt McHenry,56182,Penn State,Luke Lilledahl,80223,Penn State
