season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2025,03/20,NCAA Championships,125,L,DEC,10 - 4,Jacob Moran,63550,Indiana,Max Gallagher,78893,Pennsylvania
2025,03/20,NCAA Championships,125,W,DEC,5 - 1,Marcello Milani,78106,Cornell,Max Gallagher,78893,Pennsylvania
2025,03/20,NCAA Championships,125,L,DEC,6 - 5,Blake West,73337,Northern Illinois,Max Gallagher,78893,Pennsylvania
2025,03/09,Ivy Championships,125,L,DEC,8 - 6,Marc-Anthony McGowan,79468,Princeton,Max Gallagher,78893,Pennsylvania
2025,03/09,Ivy Championships,125,W,MD,13 - 4,Diego Sotelo,71874,Harvard,Max Gallagher,78893,Pennsylvania
2025,02/19,Pennsylvania - Rutgers Dual,125,W,DEC,5 - 4,Dean Peterson,72936,Rutgers,Max Gallagher,78893,Pennsylvania
2025,02/16,Princeton - Pennsylvania Dual,125,W,DEC,8 - 3,Ethan Rivera,84435,Princeton,Max Gallagher,78893,Pennsylvania
2025,02/13,Lehigh - Pennsylvania Dual,125,L,DEC,4 - 1,Sheldon Seymour,62339,Lehigh,Max Gallagher,78893,Pennsylvania
2025,02/09,Pennsylvania - Cornell Dual,125,W,MD,12 - 3,Marcello Milani,78106,Cornell,Max Gallagher,78893,Pennsylvania
2025,02/02,Brown - Pennsylvania Dual,125,W,TF5,19 - 4 7:00,Jared Brunner,76391,Brown,Max Gallagher,78893,Pennsylvania
2025,02/02,Harvard - Pennsylvania Dual,125,W,FALL,4:13,Isaiah Adams,84480,Harvard,Max Gallagher,78893,Pennsylvania
2025,01/26,Pennsylvania - Hofstra Dual,125,W,FALL,6:38,Dylan Acevedo-Switzer,73023,Hofstra,Max Gallagher,78893,Pennsylvania
2025,01/24,Pennsylvania - Columbia Dual,125,W,MD,11 - 3,Sulayman Bah,79305,Columbia,Max Gallagher,78893,Pennsylvania
2025,01/11,Wyoming - Pennsylvania Dual,125,W,DEC,11 - 6,Garrett Ricks,67111,Wyoming,Max Gallagher,78893,Pennsylvania
2025,01/10,Pennsylvania - South Dakota State Dual,125,W,DEC,6 - 5,Tanner Jordan,57664,South Dakota State,Max Gallagher,78893,Pennsylvania
2025,01/10,Ohio - Pennsylvania Dual,125,W,TF5,21 - 2 7:00,Logan Dean,93528,Ohio,Max Gallagher,78893,Pennsylvania
2025,12/29,Midlands Championships,125,L,DEC,10 - 7,Marc-Anthony McGowan,79468,Princeton,Max Gallagher,78893,Pennsylvania
2025,12/29,Midlands Championships,125,L,DEC,5 - 4,Diego Sotelo,71874,Harvard,Max Gallagher,78893,Pennsylvania
2025,12/29,Midlands Championships,125,W,FALL,5:46,Isaiah Quintero,81600,Purdue,Max Gallagher,78893,Pennsylvania
2025,12/29,Midlands Championships,125,W,MD,13 - 3,Drew Davis,84419,SIU Edwardsville,Max Gallagher,78893,Pennsylvania
2025,12/29,Midlands Championships,125,W,MD,15 - 3,Jack Parker,83327,Franklin & Marshall,Max Gallagher,78893,Pennsylvania
2025,12/29,Midlands Championships,125,L,DEC,6 - 3,Blake West,73337,Northern Illinois,Max Gallagher,78893,Pennsylvania
2025,12/29,Midlands Championships,125,W,SV-1,4 - 1,Koda Holeman,73792,Cal Poly,Max Gallagher,78893,Pennsylvania
2025,12/08,A Better Way Athletics Patriot Open,125,W,DEC,2 - 1,JJ Peace,82775,American,Max Gallagher,78893,Pennsylvania
2025,12/08,A Better Way Athletics Patriot Open,125,W,MFOR,0 - 0,Davis Motyka,81808,PRTC,Max Gallagher,78893,Pennsylvania
2025,12/08,A Better Way Athletics Patriot Open,125,W,DEC,5 - 1,Bryson Terrell,79650,Appalachian State,Max Gallagher,78893,Pennsylvania
2025,12/08,A Better Way Athletics Patriot Open,125,W,TF5,16 - 0 4:35,Noah Michaels,93265,Rider,Max Gallagher,78893,Pennsylvania
2025,12/06,Pennsylvania - Virginia Dual,125,W,TF5,23 - 8 6:29,Keyveon Roller,73139,Virginia,Max Gallagher,78893,Pennsylvania
2025,11/24,Keystone Classic,125,W,DEC,9 - 5,Dillon Campbell,84388,Virginia Tech,Max Gallagher,78893,Pennsylvania
2025,11/24,Keystone Classic,125,W,MD,9 - 1,Brady Pruett,73565,Pennsylvania,Max Gallagher,78893,Pennsylvania
2025,11/24,Keystone Classic,125,W,MD,14 - 3,Jack Parker,83327,Franklin & Marshall,Max Gallagher,78893,Pennsylvania
2025,11/24,Keystone Classic,125,W,MD,14 - 3,Eamonn Jimenez,78779,Edinboro,Max Gallagher,78893,Pennsylvania
2025,11/16,Northern Colorado - Pennsylvania Dual,125,L,DEC,7 - 2,Stevo Poulin,71929,Northern Colorado,Max Gallagher,78893,Pennsylvania
