season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/06,ACC Championships,125,L,DEC,8 - 3,Jakob Camacho,50655,NC State,Gage Curry,44583,Pittsburgh
2022,03/06,ACC Championships,125,L,TB-2,3 - 2,Spencer Moore,68720,North Carolina,Gage Curry,44583,Pittsburgh
2022,03/06,ACC Championships,125,W,DEC,3 - 0,Logan Agin,62979,Duke,Gage Curry,44583,Pittsburgh
2022,02/18,Pittsburgh - Duke Dual,125,W,MD,8 - 0,Logan Agin,62979,Duke,Gage Curry,44583,Pittsburgh
2022,02/11,Pittsburgh - North Carolina State Dual,125,L,MD,15 - 6,Jakob Camacho,50655,NC State,Gage Curry,44583,Pittsburgh
2022,02/06,Columbia - Pittsburgh Dual,125,W,DEC,5 - 1,Joe Manchio,50937,Columbia,Gage Curry,44583,Pittsburgh
2022,02/04,Pittsburgh - North Carolina Dual,125,W,SV-1,2 - 1,Spencer Moore,68720,North Carolina,Gage Curry,44583,Pittsburgh
2022,01/30,Virginia Tech - Pittsburgh Dual,125,L,DEC,5 - 3,Sam Latona,56742,Virginia Tech,Gage Curry,44583,Pittsburgh
2022,01/21,Virginia - Pittsburgh Dual,125,W,DEC,3 - 2,Patrick McCormick,57063,Virginia,Gage Curry,44583,Pittsburgh
2022,01/14,Arizona State - Pittsburgh Dual,125,L,DEC,10 - 4,Brandon Courtney,50881,Arizona State,Gage Curry,44583,Pittsburgh
2022,01/09,Michigan - Pittsburgh Dual,125,L,MD,18 - 7,Nick Suriano,44648,Michigan,Gage Curry,44583,Pittsburgh
2022,01/09,Army - Pittsburgh Dual,125,W,MD,12 - 4,Ryan Chauvin,50835,Army West Point,Gage Curry,44583,Pittsburgh
2022,12/29,Illinois Matmen Open,125,W,DEC,4 - 2,Lucian Brink,64945,Northern Illinois,Gage Curry,44583,Pittsburgh
2022,12/29,Illinois Matmen Open,125,L,DEC,9 - 7,Sheldon Seymour,62339,Lehigh,Gage Curry,44583,Pittsburgh
2022,12/29,Illinois Matmen Open,125,W,SV-1,5 - 4,Diego Sotelo,71874,Harvard,Gage Curry,44583,Pittsburgh
2022,12/29,Illinois Matmen Open,125,L,SV-1,7 - 5,Antonio Lorenzo,57329,Cal Poly,Gage Curry,44583,Pittsburgh
2022,12/29,Illinois Matmen Open,125,W,DEC,2 - 0,Brandon Seidman,56803,Bucknell,Gage Curry,44583,Pittsburgh
2022,12/12,Pittsburgh - Ohio State Dual,125,L,DEC,5 - 2,Malik Heinselman,50611,Ohio State,Gage Curry,44583,Pittsburgh
2022,11/22,Maryland - Pittsburgh Dual,125,W,TF5,17 - 2 6:06,Zach Spence,57519,Maryland,Gage Curry,44583,Pittsburgh
2022,11/13,Pittsburgh - Edinboro Dual,125,W,DEC,3 - 1,Logan Jaquay,67227,Edinboro,Gage Curry,44583,Pittsburgh
2022,11/07,Clarion Open,125,W,SV-1,3 - 1,Anthony Noto,64642,Lock Haven,Gage Curry,44583,Pittsburgh
2022,11/07,Clarion Open,125,L,DEC,1 - 0,Carter Bailey,73039,Lehigh,Gage Curry,44583,Pittsburgh
2022,11/07,Clarion Open,125,W,MD,11 - 0,Kade Orr,73311,Kent State,Gage Curry,44583,Pittsburgh
2022,11/07,Clarion Open,125,W,FALL,2:12,Logan Mazzeo,65011,Clarion,Gage Curry,44583,Pittsburgh
2022,11/07,Clarion Open,125,W,DEC,8 - 1,Bronson Garber,56759,Bloomsburg,Gage Curry,44583,Pittsburgh
2022,12/29,Illinois Matmen Open,125,L,MD,12 - 4,Blair Orr,55804,Pennsylvania,Colton Camacho,58029,Pittsburgh
2022,12/29,Illinois Matmen Open,125,W,FALL,3:12,Maximo Renteria,71870,Illinois,Colton Camacho,58029,Pittsburgh
2022,12/29,Illinois Matmen Open,125,L,DEC,9 - 6,Diego Sotelo,71874,Harvard,Colton Camacho,58029,Pittsburgh
2022,12/29,Illinois Matmen Open,125,W,MD,15 - 7,Hunter Adrian,65842,Brown,Colton Camacho,58029,Pittsburgh
2022,12/11,Cleveland State Open,125,W,DEC,5 - 2,Brett Ungar,68705,Spartan Combat RTC,Colton Camacho,58029,Pittsburgh
2022,12/11,Cleveland State Open,125,W,MD,10 - 0,Tommy Hoskins,50613,Ohio,Colton Camacho,58029,Pittsburgh
2022,12/11,Cleveland State Open,125,W,MD,15 - 5,Christian Tanefeu,73460,Michigan,Colton Camacho,58029,Pittsburgh
2022,12/11,Cleveland State Open,125,L,DEC,7 - 4,Jacob Moran,63550,Indiana,Colton Camacho,58029,Pittsburgh
2022,12/11,Cleveland State Open,125,W,TF5,17 - 1 7:00,Trey Bates,71792,Central Michigan,Colton Camacho,58029,Pittsburgh
2022,11/21,Pittsburgh - Lehigh Dual,125,L,DEC,4 - 1,Jaret Lane,50909,Lehigh,Colton Camacho,58029,Pittsburgh
2022,11/12,Pittsburgh - Buffalo Dual,125,W,DEC,6 - 1,Tristan Daugherty,62877,Buffalo,Colton Camacho,58029,Pittsburgh
2022,11/07,Clarion Open,125,L,DEC,6 - 5,Anthony Noto,64642,Lock Haven,Colton Camacho,58029,Pittsburgh
2022,11/07,Clarion Open,125,W,TF5,16 - 0 3:48,Elijah Wallace,72669,Franklin & Marshall,Colton Camacho,58029,Pittsburgh
2022,11/07,Clarion Open,125,W,FALL,1:22,Aiden Lewis,71750,Bucknell,Colton Camacho,58029,Pittsburgh
2022,11/07,Clarion Open,125,W,DEC,5 - 2,Bronson Garber,56759,Bloomsburg,Colton Camacho,58029,Pittsburgh
2022,11/07,Clarion Open,125,W,TF5,19 - 4 6:23,Shawn Orem,51045,Bloomsburg,Colton Camacho,58029,Pittsburgh
2022,03/17,NCAA Championships,133,L,FALL,2:21,Chris Cannon,62895,Northwestern,Micky Phillippi,45230,Pittsburgh
2022,03/17,NCAA Championships,133,W,DEC,9 - 8,Richie Koehler,51648,Rider,Micky Phillippi,45230,Pittsburgh
2022,03/17,NCAA Championships,133,W,DEC,4 - 2,Joey Olivieri,67238,Rutgers,Micky Phillippi,45230,Pittsburgh
2022,03/17,NCAA Championships,133,L,DEC,5 - 2,Austin DeSanto,49117,Iowa,Micky Phillippi,45230,Pittsburgh
2022,03/17,NCAA Championships,133,W,DEC,4 - 0,Codi Russell,51113,Appalachian State,Micky Phillippi,45230,Pittsburgh
2022,03/06,ACC Championships,133,L,DEC,4 - 2,Korbin Myers,39637,Virginia Tech,Micky Phillippi,45230,Pittsburgh
2022,03/06,ACC Championships,133,W,DEC,3 - 1,Joe Heilmann,51223,North Carolina,Micky Phillippi,45230,Pittsburgh
2022,03/06,ACC Championships,133,W,TF5,18 - 3 5:08,Drake Doolittle,62376,Duke,Micky Phillippi,45230,Pittsburgh
2022,02/18,Pittsburgh - Duke Dual,133,W,FALL,4:29,Drake Doolittle,62376,Duke,Micky Phillippi,45230,Pittsburgh
2022,02/11,Pittsburgh - North Carolina State Dual,133,W,DEC,4 - 1,Kai Orine,56908,NC State,Micky Phillippi,45230,Pittsburgh
2022,02/06,Columbia - Pittsburgh Dual,133,W,DEC,9 - 3,Angelo Rini,56766,Columbia,Micky Phillippi,45230,Pittsburgh
2022,02/04,Pittsburgh - North Carolina Dual,133,L,DEC,3 - 2,Joe Heilmann,51223,North Carolina,Micky Phillippi,45230,Pittsburgh
2022,01/30,Virginia Tech - Pittsburgh Dual,133,L,DEC,2 - 1,Korbin Myers,39637,Virginia Tech,Micky Phillippi,45230,Pittsburgh
2022,01/21,Virginia - Pittsburgh Dual,133,W,TF5,22 - 7 5:34,Trey Lane,62197,Virginia,Micky Phillippi,45230,Pittsburgh
2022,01/14,Arizona State - Pittsburgh Dual,133,L,DEC,5 - 3,Michael McGee,49264,Arizona State,Micky Phillippi,45230,Pittsburgh
2022,01/09,Michigan - Pittsburgh Dual,133,W,DEC,5 - 2,Jack Medley,51392,Michigan,Micky Phillippi,45230,Pittsburgh
2022,01/09,Army - Pittsburgh Dual,133,W,MD,14 - 5,Mark Montgomery,60539,Army West Point,Micky Phillippi,45230,Pittsburgh
2022,12/29,Illinois Matmen Open,133,L,DEC,5 - 4,Lucas Byrd,56714,Illinois,Micky Phillippi,45230,Pittsburgh
2022,12/29,Illinois Matmen Open,133,W,DEC,2 - 0,Joey Olivieri,67238,Rutgers,Micky Phillippi,45230,Pittsburgh
2022,12/29,Illinois Matmen Open,133,W,TB-3,7 - 6,Jack Wagner,44755,Northern Iowa,Micky Phillippi,45230,Pittsburgh
2022,12/29,Illinois Matmen Open,133,W,MD,11 - 3,Carter Bailey,73039,Lehigh,Micky Phillippi,45230,Pittsburgh
2022,12/12,Pittsburgh - Ohio State Dual,133,W,MD,14 - 3,Dylan Koontz,50854,Ohio State,Micky Phillippi,45230,Pittsburgh
2022,11/22,Maryland - Pittsburgh Dual,133,W,DEC,5 - 0,King Sandoval,57116,Maryland,Micky Phillippi,45230,Pittsburgh
