season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,03/08,SoCon Championships,125,L,FALL,2:58,Cian Fischer,57516,Davidson,Jacob Brasseur,61212,Presbyterian
2020,03/08,SoCon Championships,125,L,DEC,10 - 5,Sean Carter,62808,Appalachian State,Jacob Brasseur,61212,Presbyterian
2020,02/22,VMI - Presbyterian Dual,125,W,MD,17 - 5,John McGarry,62382,VMI,Jacob Brasseur,61212,Presbyterian
2020,02/09,Gardner-Webb - Presbyterian Dual,125,W,DEC,8 - 6,Michael Pappaconstantinou,62404,Gardner-Webb,Jacob Brasseur,61212,Presbyterian
2020,02/04,The Citadel - Presbyterian Dual,125,W,DEC,7 - 4,Jordan White,62179,The Citadel,Jacob Brasseur,61212,Presbyterian
2020,01/25,Oregon State - Presbyterian Dual,125,L,MD,16 - 4,Brandon Kaylor,51198,Oregon State,Jacob Brasseur,61212,Presbyterian
2020,01/25,Presbyterian - Campbell Dual,125,L,MD,11 - 2,Korbin Meink,49074,Campbell,Jacob Brasseur,61212,Presbyterian
2020,01/19,Davidson - Presbyterian Dual,125,L,SV-1,13 - 7,Cian Fischer,57516,Davidson,Jacob Brasseur,61212,Presbyterian
2020,01/15,Truett-McConnell (Ga) - Presbyterian Dual,125,W,MD,19 - 7,Brandon Navixay,59799,Truett-McConnell,Jacob Brasseur,61212,Presbyterian
2020,01/12,Presbyterian - Appalachian State Dual,125,L,MD,14 - 4,Sean Carter,62808,Appalachian State,Jacob Brasseur,61212,Presbyterian
2020,12/20,Presbyterian - The Citadel Dual,125,L,DEC,6 - 2,Jordan White,62179,The Citadel,Jacob Brasseur,61212,Presbyterian
2020,12/18,Franklin & Marshall - Presbyterian Dual,125,L,MD,12 - 3,Jose Diaz,57229,Franklin & Marshall,Jacob Brasseur,61212,Presbyterian
2020,11/24,Cornell Open,125,W,TF5,17 - 2 7:00,Mathew Schreiber,62420,Binghamton,Jacob Brasseur,61212,Presbyterian
2020,11/24,Cornell Open,125,W,DEC,7 - 6,James Ryan,61391,LIU,Jacob Brasseur,61212,Presbyterian
2020,11/24,Cornell Open,125,W,MFOR,0 - 0,Ryan Chauvin,50835,Army West Point,Jacob Brasseur,61212,Presbyterian
2020,11/24,Cornell Open,125,L,TF5,16 - 1 7:00,Luke Werner,50282,Lock Haven,Jacob Brasseur,61212,Presbyterian
2020,11/24,Cornell Open,125,L,MD,11 - 2,Dominic LaJoie,49112,Cornell,Jacob Brasseur,61212,Presbyterian
2020,11/17,Wolfpack Open,125,L,DEC,5 - 3,Carson Smith,62812,Appalachian State,Jacob Brasseur,61212,Presbyterian
2020,11/17,Wolfpack Open,125,W,DEC,5 - 4,Trey Lane,62197,Virginia,Jacob Brasseur,61212,Presbyterian
2020,11/17,Wolfpack Open,125,W,TF5,21 - 6 5:08,Brandon Navixay,59799,Truett-McConnell,Jacob Brasseur,61212,Presbyterian
2020,11/17,Wolfpack Open,125,L,MD,10 - 1,Hunter Graf,51359,Virginia Tech,Jacob Brasseur,61212,Presbyterian
2020,11/03,Battle at The Citadel,125,W,DEC,10 - 6,Jordan White,62179,The Citadel,Jacob Brasseur,61212,Presbyterian
2020,11/03,Battle at The Citadel,125,L,TF5,16 - 0 2:14,Jackson DiSario,57126,Stanford,Jacob Brasseur,61212,Presbyterian
2020,11/03,Battle at The Citadel,125,W,MD,14 - 4,Drake Doolittle,62376,Duke,Jacob Brasseur,61212,Presbyterian
2020,11/03,Battle at The Citadel,125,L,MD,12 - 1,Gage Curry,44583,American,Jacob Brasseur,61212,Presbyterian
2020,02/09,Newberry Open,125,L,DQ,0 - 0,Austin Ross,63124,Lander,Benny Gomez,47503,Presbyterian
2020,02/09,Newberry Open,125,L,DEC,10 - 3,Caleb Smith,58559,Appalachian State,Benny Gomez,47503,Presbyterian
2020,02/09,Newberry Open,125,L,DEC,9 - 4,Austin Ross,63124,Lander,Dyllan Gorrin,63036,Presbyterian
2020,02/09,Newberry Open,125,W,FALL,4:30,William Dudley,58926,St Andrews,Dyllan Gorrin,63036,Presbyterian
2020,02/09,Newberry Open,125,W,FALL,4:51,Zach Valentine,55896,Newberry,Dyllan Gorrin,63036,Presbyterian
2020,02/09,Newberry Open,125,L,FALL,4:24,Joey Melendez,50805,North Carolina,Dyllan Gorrin,63036,Presbyterian
2020,11/24,Cornell Open,125,L,FALL,1:06,Matt Maloney,62920,Lock Haven,Dyllan Gorrin,63036,Presbyterian
2020,11/24,Cornell Open,125,L,FALL,1:44,Carson Sauriol,62416,Binghamton,Dyllan Gorrin,63036,Presbyterian
2020,11/24,Cornell Open,125,L,FALL,0:22,Hunter Scutellaro,57776,LIU,Dyllan Gorrin,63036,Presbyterian
2020,11/24,Cornell Open,125,L,TF5,17 - 0 7:00,Kevin Meloni,50549,Buffalo,Dyllan Gorrin,63036,Presbyterian
2020,03/08,SoCon Championships,133,L,DEC,7 - 6,Nathan Orosco,61817,The Citadel,Khalid Brinkley,61614,Presbyterian
2020,03/08,SoCon Championships,133,L,TF5,18 - 1 5:32,Codi Russell,51113,Appalachian State,Khalid Brinkley,61614,Presbyterian
2020,02/22,VMI - Presbyterian Dual,133,L,DEC,5 - 3,Cliff Conway,50304,VMI,Khalid Brinkley,61614,Presbyterian
2020,02/09,Gardner-Webb - Presbyterian Dual,133,L,FALL,1:39,Trevon Majette,51364,Gardner-Webb,Khalid Brinkley,61614,Presbyterian
2020,11/24,Cornell Open,133,L,FALL,4:29,Parker Corwin,63037,Presbyterian,Khalid Brinkley,61614,Presbyterian
2020,11/24,Cornell Open,133,L,DEC,9 - 2,Michael Blando,61775,LIU,Khalid Brinkley,61614,Presbyterian
2020,11/24,Cornell Open,133,L,FALL,2:01,JJ Wilson,59823,Cornell,Khalid Brinkley,61614,Presbyterian
2020,11/24,Cornell Open,133,L,TF5,16 - 1 7:00,Phillip Moomey,56704,Cornell,Khalid Brinkley,61614,Presbyterian
2020,11/24,Cornell Open,133,L,DEC,12 - 9,Jason Javier,44981,Binghamton,Khalid Brinkley,61614,Presbyterian
2020,11/17,Wolfpack Open,133,L,FALL,4:52,Tyler Kellison,60765,Appalachian State,Khalid Brinkley,61614,Presbyterian
2020,11/17,Wolfpack Open,133,L,FALL,3:55,Codi Russell,51113,Appalachian State,Khalid Brinkley,61614,Presbyterian
2020,11/03,Battle at The Citadel,133,L,DEC,5 - 4,Nathan Orosco,61817,The Citadel,Khalid Brinkley,61614,Presbyterian
2020,11/03,Battle at The Citadel,133,L,FALL,2:55,Shannon Hanna,57654,Old Dominion,Khalid Brinkley,61614,Presbyterian
2020,03/08,SoCon Championships,141,L,DEC,9 - 2,Jacob Dado,59673,The Citadel,Reid Stewart,60680,Presbyterian
2020,03/08,SoCon Championships,141,W,DEC,6 - 4,David Loniewski,57701,Davidson,Reid Stewart,60680,Presbyterian
2020,03/08,SoCon Championships,141,L,MD,10 - 2,Bradly Irwin,40555,Appalachian State,Reid Stewart,60680,Presbyterian
2020,02/09,Gardner-Webb - Presbyterian Dual,141,W,DEC,5 - 4,Brandon Bright,51345,Gardner-Webb,Reid Stewart,60680,Presbyterian
2020,02/04,The Citadel - Presbyterian Dual,141,W,DEC,6 - 0,Ethan Willis,62074,The Citadel,Reid Stewart,60680,Presbyterian
2020,01/25,Oregon State - Presbyterian Dual,141,L,DEC,6 - 1,Grant Willits,49273,Oregon State,Reid Stewart,60680,Presbyterian
2020,01/25,Presbyterian - Campbell Dual,141,L,DEC,5 - 3,Josh Heil,45100,Campbell,Reid Stewart,60680,Presbyterian
2020,01/19,Davidson - Presbyterian Dual,141,W,DEC,4 - 0,David Loniewski,57701,Davidson,Reid Stewart,60680,Presbyterian
2020,01/15,Truett-McConnell (Ga) - Presbyterian Dual,141,W,MD,15 - 5,Geowel Silvestre,65033,Truett-McConnell,Reid Stewart,60680,Presbyterian
2020,01/12,Presbyterian - Appalachian State Dual,141,L,TF5,17 - 2 5:52,Bradly Irwin,40555,Appalachian State,Reid Stewart,60680,Presbyterian
2020,12/20,Presbyterian - The Citadel Dual,141,L,DEC,11 - 5,Ethan Willis,62074,The Citadel,Reid Stewart,60680,Presbyterian
2020,12/18,Franklin & Marshall - Presbyterian Dual,141,L,FALL,2:54,Wil Gil,51024,Franklin & Marshall,Reid Stewart,60680,Presbyterian
2020,11/24,Cornell Open,141,L,DEC,7 - 5,Logan Brown,53821,Army West Point,Reid Stewart,60680,Presbyterian
2020,11/24,Cornell Open,141,W,DEC,3 - 2,Imran Heard,51595,Lock Haven,Reid Stewart,60680,Presbyterian
2020,11/24,Cornell Open,141,L,MD,11 - 2,Noah Baughman,44749,Cornell,Reid Stewart,60680,Presbyterian
2020,11/24,Cornell Open,141,L,DEC,11 - 4,Andrew Gapas,51204,Rutgers,Reid Stewart,60680,Presbyterian
