season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/17,NCAA Championships,125,L,MD,11 - 0,Patrick McKee,50594,Minnesota,Devin Schroder,44591,Purdue
2022,03/17,NCAA Championships,125,L,DEC,4 - 1,Sam Latona,56742,Virginia Tech,Devin Schroder,44591,Purdue
2022,03/05,Big Ten Championships,125,L,MFOR,0 - 0,Patrick McKee,50594,Minnesota,Devin Schroder,44591,Purdue
2022,03/05,Big Ten Championships,125,L,MFOR,0 - 0,Malik Heinselman,50611,Ohio State,Devin Schroder,44591,Purdue
2022,03/05,Big Ten Championships,125,W,DEC,3 - 1,Malik Heinselman,50611,Ohio State,Devin Schroder,44591,Purdue
2022,03/05,Big Ten Championships,125,L,FALL,2:40,Nick Suriano,44648,Michigan,Devin Schroder,44591,Purdue
2022,03/05,Big Ten Championships,125,W,DEC,2 - 0,Jacob Moran,63550,Indiana,Devin Schroder,44591,Purdue
2022,02/19,Purdue - Northwestern Dual,125,W,DEC,5 - 0,Michael DeAugustino,56007,Northwestern,Devin Schroder,44591,Purdue
2022,02/06,Minnesota - Purdue Dual,125,W,DEC,8 - 3,Patrick McKee,50594,Minnesota,Devin Schroder,44591,Purdue
2022,01/29,Purdue - Indiana Dual,125,W,MD,11 - 0,Jacob Moran,63550,Indiana,Devin Schroder,44591,Purdue
2022,01/23,Wisconsin - Purdue Dual,125,L,DEC,4 - 2,Eric Barnett,56753,Wisconsin,Devin Schroder,44591,Purdue
2022,01/21,Illinois - Purdue Dual,125,W,DEC,1 - 0,Justin Cardani,51687,Illinois,Devin Schroder,44591,Purdue
2022,01/15,Michigan State - Purdue Dual,125,W,DEC,3 - 0,Tristan Lujan,63015,Michigan State,Devin Schroder,44591,Purdue
2022,01/09,Purdue - Iowa Dual,125,L,DEC,6 - 1,Drake Ayala,66975,Iowa,Devin Schroder,44591,Purdue
2022,01/07,Purdue - Nebraska Dual,125,W,TF5,17 - 0 6:22,Jeremiah Reno,62342,Nebraska,Devin Schroder,44591,Purdue
2022,12/19,Purdue - Iowa State Dual,125,W,MD,10 - 0,Corey Cabanban,57236,Iowa State,Devin Schroder,44591,Purdue
2022,12/03,CKLV Invitational,125,W,TF5,18 - 0 3:00,Yusief Lillie,72995,Utah Valley,Devin Schroder,44591,Purdue
2022,12/03,CKLV Invitational,125,W,DEC,8 - 6,Brandon Kaylor,51198,Oregon State,Devin Schroder,44591,Purdue
2022,12/03,CKLV Invitational,125,L,MD,13 - 0,Patrick Glory,51100,Princeton,Devin Schroder,44591,Purdue
2022,12/03,CKLV Invitational,125,W,TF5,17 - 2 7:00,Jack Creamer,69974,Oklahoma,Devin Schroder,44591,Purdue
2022,12/03,CKLV Invitational,125,W,DEC,1 - 0,Jacob Allen,50935,Navy,Devin Schroder,44591,Purdue
2022,11/21,Northern Illinois - Purdue Dual,125,W,MD,10 - 2,Bryce West,50039,Northern Illinois,Devin Schroder,44591,Purdue
2022,11/21,Duke - Purdue Dual,125,W,TF5,18 - 0 3:25,Logan Agin,62979,Duke,Devin Schroder,44591,Purdue
2022,11/21,Brown - Purdue Dual,125,W,TF5,20 - 2 4:27,Reese Fry,56796,Brown,Devin Schroder,44591,Purdue
2022,11/14,Purdue - Cleveland State Dual,125,W,TF5,15 - 0 7:00,Logan Heil,57515,Cleveland State,Devin Schroder,44591,Purdue
2022,11/06,Purdue - Rider Dual,125,W,DEC,4 - 2,Tyler Klinsky,62353,Rider,Devin Schroder,44591,Purdue
2022,11/06,Purdue - Drexel Dual,125,W,DEC,6 - 0,Antonio Mininno,50806,Drexel,Devin Schroder,44591,Purdue
2022,02/06,Greyhound Open,125,W,TF5,18 - 0 7:00,Jacob Simone,76535,Marian University,Kooper Loehr,62509,Purdue
2022,02/06,Greyhound Open,125,W,TF5,16 - 0 7:00,Brendon Mark,70808,Indiana Tech,Kooper Loehr,62509,Purdue
2022,02/06,Greyhound Open,125,L,FALL,6:13,Mike Tortorice,49964,Unattached,Kooper Loehr,62509,Purdue
2022,02/06,Greyhound Open,125,W,DEC,11 - 4,Jack Parker,71291,Bellarmine,Kooper Loehr,62509,Purdue
2022,01/16,Purple Raider Open,125,W,TF5,18 - 0 2:34,Joseph Davis,78103,Akron,Kooper Loehr,62509,Purdue
2022,01/16,Purple Raider Open,125,W,DEC,6 - 3,Christian Tanefeu,73460,Michigan,Kooper Loehr,62509,Purdue
2022,01/16,Purple Raider Open,125,W,TF5,16 - 0 1:40,Jake Arnold,69436,Notre Dame,Kooper Loehr,62509,Purdue
2022,01/16,Purple Raider Open,125,W,DEC,6 - 4,Errik Gerback,54808,Mount Union,Kooper Loehr,62509,Purdue
2022,01/16,Purple Raider Open,125,W,DEC,6 - 4,Brett Standahl,78102,Notre Dame,Nathan Cummings,51073,Purdue
2022,01/16,Purple Raider Open,125,L,DEC,7 - 5,Christian Tanefeu,73460,Michigan,Nathan Cummings,51073,Purdue
2022,01/16,Purple Raider Open,125,L,DEC,5 - 3,Benjamin Aranda,71804,Cleveland State,Nathan Cummings,51073,Purdue
2022,12/11,Cleveland State Open,125,L,MD,9 - 0,Brett Ungar,68705,Spartan Combat RTC,Nathan Cummings,51073,Purdue
2022,12/11,Cleveland State Open,125,L,DEC,4 - 0,Tommy Hoskins,50613,Ohio,Nathan Cummings,51073,Purdue
2022,12/11,Cleveland State Open,125,W,DEC,6 - 3,Zachary Soda,72220,Edinboro,Nathan Cummings,51073,Purdue
2022,12/04,Jim Koch Open,125,W,FALL,0:25,John Fortugno,71468,Wisconsin-Whitewater,Nathan Cummings,51073,Purdue
