season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/03,MAC Championships,125,W,DEC,14 - 10,Sean Spidle,63063,Central Michigan,Tyler Klinsky,62353,Rider
2023,03/03,MAC Championships,125,L,DEC,5 - 3,Blake West,73337,Northern Illinois,Tyler Klinsky,62353,Rider
2023,03/03,MAC Championships,125,W,DEC,11 - 9,Austin Macias,57088,SIU Edwardsville,Tyler Klinsky,62353,Rider
2023,03/03,MAC Championships,125,L,DEC,3 - 2,Anthony Noto,64642,Lock Haven,Tyler Klinsky,62353,Rider
2023,02/18,Drexel - Rider Dual,125,W,MD,16 - 6,Desmond Pleasant,71583,Drexel,Tyler Klinsky,62353,Rider
2023,02/18,Cleveland State - Rider Dual,125,W,DEC,10 - 8,Benjamin Aranda,71804,Cleveland State,Tyler Klinsky,62353,Rider
2023,02/17,George Mason - Rider Dual,125,W,DEC,3 - 1,Markel Baker,78892,George Mason,Tyler Klinsky,62353,Rider
2023,02/12,Rider - Clarion Dual,125,L,DEC,4 - 3,Joseph Fischer,68702,Clarion,Tyler Klinsky,62353,Rider
2023,02/10,Rider - Edinboro Dual,125,W,TF5,23 - 8 7:00,Eamonn Jimenez,78779,Edinboro,Tyler Klinsky,62353,Rider
2023,02/05,Rider - Oklahoma Dual,125,L,DEC,4 - 3,Joey Prata,44734,Oklahoma,Tyler Klinsky,62353,Rider
2023,01/28,Bucknell - Rider Dual,125,W,TF5,21 - 6 6:26,Grayson McLellan,79295,Bucknell,Tyler Klinsky,62353,Rider
2023,01/26,Rider - Lock Haven Dual,125,L,DEC,6 - 4,Anthony Noto,64642,Lock Haven,Tyler Klinsky,62353,Rider
2023,01/21,Rider - Princeton Dual,125,W,SV-1,6 - 4,Nick Kayal,65849,Princeton,Tyler Klinsky,62353,Rider
2023,01/13,Rider - Bloomsburg Dual,125,W,DEC,7 - 2,Bronson Garber,56759,Bloomsburg,Tyler Klinsky,62353,Rider
2023,01/08,Rutgers - Rider Dual,125,L,DEC,2 - 0,Dean Peterson,72936,Rutgers,Tyler Klinsky,62353,Rider
2023,01/01,Southern Scuffle,125,W,DEC,7 - 3,Reid Nelson,72129,Little Rock,Tyler Klinsky,62353,Rider
2023,01/01,Southern Scuffle,125,L,DEC,7 - 3,Stevo Poulin,71929,Northern Colorado,Tyler Klinsky,62353,Rider
2023,01/01,Southern Scuffle,125,L,DEC,3 - 2,Richard Castro-Sandoval,69366,CSU Bakersfield,Tyler Klinsky,62353,Rider
2023,12/02,Penn State - Rider Dual,125,L,DEC,6 - 4,Gary Steen,68731,Penn State,Tyler Klinsky,62353,Rider
2023,11/20,Keystone Classic,125,L,MD,12 - 4,Cooper Flynn,72148,Virginia Tech,Tyler Klinsky,62353,Rider
2023,11/20,Keystone Classic,125,W,DEC,9 - 2,Gabe Giampietro,72979,Drexel,Tyler Klinsky,62353,Rider
2023,11/20,Keystone Classic,125,W,DEC,9 - 2,Desmond Pleasant,71583,Drexel,Tyler Klinsky,62353,Rider
2023,11/20,Keystone Classic,125,L,DEC,7 - 6,Antonio Mininno,50806,Drexel,Tyler Klinsky,62353,Rider
