season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,01/16,Shorty Hitchcock Classic,125,W,TF5,17 - 2 4:07,Michael Macklin,39870,Bucknell,Luis Gonzalez,40041,Rutgers
2016,01/16,Shorty Hitchcock Classic,125,W,DEC,6 - 2,Tanner Shoap,12205,Drexel,Luis Gonzalez,40041,Rutgers
2016,01/16,Shorty Hitchcock Classic,125,W,FALL,2:07,Breandan Coughlin,39559,Maryland,Luis Gonzalez,40041,Rutgers
2016,01/16,Shorty Hitchcock Classic,125,W,DEC,7 - 3,Keanan Bottorf,40295,Lock Haven,Luis Gonzalez,40041,Rutgers
2016,12/28,Wilkes Open,125,W,DEC,3 - 2,Dylan Booth,41391,SUNY Sullivan,Luis Gonzalez,40041,Rutgers
2016,12/28,Wilkes Open,125,L,DEC,1 - 0,Jacob Martin,42329,Wyoming,Luis Gonzalez,40041,Rutgers
2016,12/28,Wilkes Open,125,W,TF5,17 - 0 7:00,James Wright,43612,King's,Luis Gonzalez,40041,Rutgers
2016,12/28,Wilkes Open,125,W,DEC,4 - 3,Justin Patrick,39587,Buffalo,Luis Gonzalez,40041,Rutgers
2016,12/28,Wilkes Open,125,W,FALL,1:30,Jon Haas,19672,Bloomsburg,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,W,TF5,15 - 0 5:24,Dan Morell,43205,Ashland,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,W,MD,10 - 2,Drew Dickson,20964,Kent State,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,W,FALL,0:49,Brendan Howard,39805,Clarion,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,L,DEC,9 - 5,Joshua Kramer,39736,Arizona State,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,W,DEC,14 - 7,Devin Brown,39619,West Virginia,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,W,DEC,4 - 0,Peter Robinson,39576,Maryland,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,L,DEC,11 - 9,Joshua Kramer,39736,Arizona State,Luis Gonzalez,40041,Rutgers
2016,12/06,Nittany Lion Open,125,W,DEC,6 - 5,Josh Patrick,12056,Rutgers,Luis Gonzalez,40041,Rutgers
2016,02/20,Lehigh - Rutgers Dual,133,L,MD,19 - 7,Mason Beckman,12016,Lehigh,Josh Patrick,12056,Rutgers
2016,02/12,Rutgers - Indiana Dual,125,L,FALL,2:56,Elijah Oliver,39583,Indiana,Josh Patrick,12056,Rutgers
2016,02/06,Messiah Open,125,W,FALL,1:36,Joe Barber,40224,Maryland,Josh Patrick,12056,Rutgers
2016,02/06,Messiah Open,125,W,TF5,20 - 1 7:00,Scott Stossel,40229,Penn State,Josh Patrick,12056,Rutgers
2016,02/06,Messiah Open,125,W,TF5,15 - 0 7:00,James Gill,44302,The College of New Jersey,Josh Patrick,12056,Rutgers
2016,12/28,Wilkes Open,125,W,FALL,7:00,Jacob Martin,42329,Wyoming,Josh Patrick,12056,Rutgers
2016,12/28,Wilkes Open,125,W,DEC,4 - 2,Dylan Booth,41391,SUNY Sullivan,Josh Patrick,12056,Rutgers
2016,12/28,Wilkes Open,125,W,MD,14 - 0,Josh Antoine,22831,Nassau Community College,Josh Patrick,12056,Rutgers
2016,12/28,Wilkes Open,125,W,DEC,11 - 6,Jon Haas,19672,Bloomsburg,Josh Patrick,12056,Rutgers
2016,12/06,Nittany Lion Open,125,W,TF5,15 - 0 1:58,Dan Morell,43205,Ashland,Josh Patrick,12056,Rutgers
2016,12/06,Nittany Lion Open,125,W,MD,12 - 0,Drew Dickson,20964,Kent State,Josh Patrick,12056,Rutgers
2016,12/06,Nittany Lion Open,125,W,MD,8 - 0,Noah Ajram,40011,Princeton,Josh Patrick,12056,Rutgers
2016,12/06,Nittany Lion Open,125,L,DEC,6 - 5,Luis Gonzalez,40041,Rutgers,Josh Patrick,12056,Rutgers
2016,12/06,Nittany Lion Open,125,L,DEC,7 - 4,Kenneth Yanovich,20308,Penn State,Josh Patrick,12056,Rutgers
2016,12/06,Nittany Lion Open,125,W,TF5,18 - 2 7:00,Patrick Higgins,40228,Penn State,Josh Patrick,12056,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,125,W,MD,17 - 3,Tanner Shoap,12205,Drexel,Josh Patrick,12056,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,125,L,DEC,7 - 5,Gerard Daly,40044,Sacred Heart,Josh Patrick,12056,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,125,W,DEC,9 - 2,Brant Leadbeter,20612,Navy,Josh Patrick,12056,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,125,W,FALL,2:20,Brandon Roseborough,41212,United States Military Academy,Josh Patrick,12056,Rutgers
2016,11/01,Centenary - Rutgers Dual,125,W,TF5,16 - 1 5:25,Joey Zargo,40469,Centenary,Josh Patrick,12056,Rutgers
2016,03/17,NCAA Championships,133,L,MD,13 - 3,Mason Beckman,12016,Lehigh,Anthony Giraldo,20359,Rutgers
2016,03/17,NCAA Championships,133,L,FALL,6:12,Nathan Kraisser,20783,Campbell,Anthony Giraldo,20359,Rutgers
2016,03/05,Big Ten Championships,133,L,DEC,7 - 3,Eric Montoya,13414,Nebraska,Anthony Giraldo,20359,Rutgers
2016,03/05,Big Ten Championships,133,L,DEC,9 - 5,Ryan Taylor,12219,Wisconsin,Anthony Giraldo,20359,Rutgers
2016,03/05,Big Ten Championships,133,W,DEC,6 - 0,Geoffrey Alexander,12022,Maryland,Anthony Giraldo,20359,Rutgers
2016,03/05,Big Ten Championships,133,L,DEC,5 - 1,Johnni DiJulius,14679,Ohio State,Anthony Giraldo,20359,Rutgers
2016,02/14,Rutgers - Purdue Dual,133,L,TB-1,3 - 1,Luke Welch,13436,Purdue,Anthony Giraldo,20359,Rutgers
2016,02/12,Rutgers - Indiana Dual,133,W,MD,12 - 3,Alonzo Shepherd,12076,Indiana,Anthony Giraldo,20359,Rutgers
2016,02/07,Michigan - Rutgers Dual,133,L,TB-1,5 - 2,Rossi Bruno,15289,Michigan,Anthony Giraldo,20359,Rutgers
2016,02/05,Wisconsin - Rutgers Dual,133,L,FALL,6:56,Ryan Taylor,12219,Wisconsin,Anthony Giraldo,20359,Rutgers
2016,01/31,Rutgers - Princeton Dual,133,W,FALL,3:55,John Aslanian,13333,Princeton,Anthony Giraldo,20359,Rutgers
2016,01/29,Maryland - Rutgers Dual,133,L,DEC,9 - 4,Geoffrey Alexander,12022,Maryland,Anthony Giraldo,20359,Rutgers
2016,01/17,Rutgers - Minnesota Dual,133,W,DEC,3 - 1,Sam Brancale,13257,Minnesota,Anthony Giraldo,20359,Rutgers
2016,01/08,Michigan State - Rutgers Dual,133,W,DEC,4 - 0,Garth Yenter,13374,Michigan State,Anthony Giraldo,20359,Rutgers
2016,12/29,Midlands Championships,133,W,MD,10 - 2,Dakota Leach,13281,SIU Edwardsville,Anthony Giraldo,20359,Rutgers
2016,12/29,Midlands Championships,133,L,DEC,4 - 2,Eric Montoya,13414,Nebraska,Anthony Giraldo,20359,Rutgers
2016,12/29,Midlands Championships,133,W,DEC,8 - 7,Dominick Malone,12015,Northwestern,Anthony Giraldo,20359,Rutgers
2016,12/29,Midlands Championships,133,W,DEC,3 - 2,Dominick Malone,12015,Northwestern,Anthony Giraldo,20359,Rutgers
2016,12/29,Midlands Championships,133,L,DEC,5 - 2,Josh Alber,20208,Northern Iowa,Anthony Giraldo,20359,Rutgers
2016,12/29,Midlands Championships,133,W,DEC,5 - 4,Earl Hall,12220,Iowa State,Anthony Giraldo,20359,Rutgers
2016,12/12,Nebraska - Rutgers Dual,133,L,DEC,2 - 0,Eric Montoya,13414,Nebraska,Anthony Giraldo,20359,Rutgers
2016,12/10,Rutgers - Iowa Dual,133,L,MD,11 - 2,Cory Clark,13249,Iowa,Anthony Giraldo,20359,Rutgers
2016,11/29,Rutgers - George Mason Dual,133,W,TF5,16 - 0 7:00,Vincent Rodriguez,15250,George Mason,Anthony Giraldo,20359,Rutgers
2016,11/29,Rutgers - Cornell Dual,133,L,DEC,6 - 1,Nahshon Garrett,12070,Cornell,Anthony Giraldo,20359,Rutgers
2016,11/21,Rutgers - Oregon State Dual,133,W,MD,11 - 2,Joey Palmer,12152,Oregon State,Anthony Giraldo,20359,Rutgers
2016,11/15,Rutgers - Oklahoma Dual,133,L,FALL,2:42,Cody Brewer,12037,Oklahoma,Anthony Giraldo,20359,Rutgers
2016,11/15,Rutgers - Northern Iowa Dual,133,L,DEC,3 - 1,Josh Alber,20208,Northern Iowa,Anthony Giraldo,20359,Rutgers
2016,11/15,Rutgers - North Carolina Dual,133,W,DEC,6 - 4,AC Headlee,39627,North Carolina,Anthony Giraldo,20359,Rutgers
2016,11/01,Centenary - Rutgers Dual,133,W,TF5,18 - 0 2:07,Christian Sable,40470,Centenary,Anthony Giraldo,20359,Rutgers
2016,11/01,Franklin & Marshall - Rutgers Dual,133,W,TF5,17 - 1 4:10,Patrick Quinlan,20543,Franklin & Marshall,Anthony Giraldo,20359,Rutgers
2016,11/01,Binghamton - Rutgers Dual,133,W,DEC,8 - 4,Jacob Nicholson,40186,Binghamton,Anthony Giraldo,20359,Rutgers
2016,02/06,Edinboro Open,141,W,DEC,7 - 6,Triston Law,39765,Penn State,Scott DelVecchio,12021,Rutgers
2016,02/06,Messiah Open,141,W,FALL,2:50,Nicolas Campbell,40339,George Mason,Scott DelVecchio,12021,Rutgers
2016,12/29,Midlands Championships,133,L,DEC,11 - 6,Josh Alber,20208,Northern Iowa,Scott DelVecchio,12021,Rutgers
2016,12/29,Midlands Championships,133,W,DEC,4 - 3,Scott Parker,19985,Lehigh,Scott DelVecchio,12021,Rutgers
2016,12/29,Midlands Championships,133,L,DEC,6 - 5,Bryan Lantry,19723,Buffalo,Scott DelVecchio,12021,Rutgers
2016,12/06,Nittany Lion Open,133,W,MFOR,0 - 0,Geoffrey Alexander,12022,Maryland,Scott DelVecchio,12021,Rutgers
2016,12/06,Nittany Lion Open,133,W,FALL,5:48,Vincent Vespa,41322,United States Military Academy,Scott DelVecchio,12021,Rutgers
2016,12/06,Nittany Lion Open,133,W,FALL,2:30,Austin Griffiths,41236,Seton Hill,Scott DelVecchio,12021,Rutgers
2016,12/06,Nittany Lion Open,133,W,DEC,10 - 7,Nicholas Ottaviano,20364,Rutgers,Scott DelVecchio,12021,Rutgers
2016,12/06,Nittany Lion Open,133,W,DEC,3 - 1,Caleb Richardson,12113,Pennsylvania,Scott DelVecchio,12021,Rutgers
2016,12/06,Nittany Lion Open,133,L,DEC,3 - 2,Caleb Richardson,12113,Pennsylvania,Scott DelVecchio,12021,Rutgers
2016,11/22,Mat Town Open,133,W,DEC,7 - 4,Austin Miller,13250,Unattached,Scott DelVecchio,12021,Rutgers
2016,11/22,Mat Town Open,133,W,TB-2,6 - 5,Korbin Myers,39637,Edinboro,Scott DelVecchio,12021,Rutgers
2016,11/22,Mat Town Open,133,W,DEC,5 - 3,Keegan Moore,39680,West Virginia,Scott DelVecchio,12021,Rutgers
2016,11/22,Mat Town Open,133,L,DEC,4 - 2,Jered Cortez,19934,Penn State,Scott DelVecchio,12021,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,133,L,DEC,6 - 1,Nahshon Garrett,12070,Cornell,Scott DelVecchio,12021,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,DEC,10 - 4,Jacob Nicholson,40186,Binghamton,Scott DelVecchio,12021,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,DEC,3 - 2,Joe Russ,22848,Nassau Community College,Scott DelVecchio,12021,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,DEC,6 - 2,Mike Russo,42009,Spartan Combat RTC,Scott DelVecchio,12021,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,MD,14 - 4,Austin Harry,22478,Army West Point,Scott DelVecchio,12021,Rutgers
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,TF5,17 - 2 4:26,Lewis Williams,40291,Lock Haven,Scott DelVecchio,12021,Rutgers
2016,02/12,Rutgers - Indiana Dual,141,W,DEC,8 - 3,Tommy Cash,39641,Indiana,Nicholas Ottaviano,20364,Rutgers
2016,02/06,Messiah Open,141,L,FALL,1:00,Adam Whitesell,20016,Maryland,Nicholas Ottaviano,20364,Rutgers
2016,12/28,Wilkes Open,141,L,DEC,6 - 5,Pankil Chander,24120,Wilkes,Nicholas Ottaviano,20364,Rutgers
