season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2021,02/26,EIWA Championships,125,L,DEC,6 - 3,Bryce Cockrell,65769,LIU,Cole Meyer,69697,Sacred Heart
2021,02/26,EIWA Championships,125,L,TF5,16 - 0 3:52,Ryan Chauvin,50835,Army West Point,Cole Meyer,69697,Sacred Heart
2021,02/05,Drexel Sacred Heart Round Robin,125,L,TF5,16 - 1 7:00,Antonio Mininno,50806,Drexel,Cole Meyer,69697,Sacred Heart
2021,01/24,Sacred Heart Bucknell Extra,125,L,DEC,6 - 2,Brandon Seidman,56803,Bucknell,Sean Faraon,62473,Sacred Heart
2021,01/20,LIU - Sacred Heart Dual,125,L,DEC,4 - 2,Bryce Cockrell,65769,LIU,Sean Faraon,62473,Sacred Heart
2021,01/09,Sacred Heart - VMI Dual,125,L,SV-1,8 - 2,Cliff Conway,50304,VMI,Sean Faraon,62473,Sacred Heart
2021,02/26,EIWA Championships,133,W,DEC,7 - 6,Devin Matthews,70150,LIU,Kyle Randall,56471,Sacred Heart
2021,02/26,EIWA Championships,133,L,FALL,0:33,Malyke Hines,56932,Lehigh,Kyle Randall,56471,Sacred Heart
2021,02/26,EIWA Championships,133,L,FALL,3:56,Garrett Lambert,44698,Hofstra,Kyle Randall,56471,Sacred Heart
2021,02/26,EIWA Championships,133,L,DEC,10 - 6,Anthony Sobotker,60378,Binghamton,Kyle Randall,56471,Sacred Heart
2021,02/05,Drexel Sacred Heart Round Robin,133,L,MD,9 - 0,Chandler Olson,49119,Drexel,Kyle Randall,56471,Sacred Heart
2021,01/24,Sacred Heart Bucknell Extra,133,L,TF5,22 - 4 7:00,Darren Miller,57210,Bucknell,Kyle Randall,56471,Sacred Heart
2021,01/20,LIU - Sacred Heart Dual,133,L,DEC,3 - 2,Devin Matthews,70150,LIU,Kyle Randall,56471,Sacred Heart
2021,02/09,Hofstra Sacred Heart Round Robin,141,L,FALL,0:23,Justin Hoyle,54220,Hofstra,Thomas Volpe,69699,Sacred Heart
2021,02/05,Drexel Sacred Heart Round Robin,133,L,FALL,3:39,Jaxon Maroney,62880,Drexel,Thomas Volpe,69699,Sacred Heart
2021,01/09,VMI Sacred Heart Extra,133,L,FALL,2:02,Luke Fegley,67426,VMI,Thomas Volpe,69699,Sacred Heart
2021,02/26,EIWA Championships,141,L,MD,11 - 2,Kurt Phipps,63966,Bucknell,Jordan Carlucci,62475,Sacred Heart
2021,02/26,EIWA Championships,141,L,FALL,1:55,Dane Heberlein,49049,Binghamton,Jordan Carlucci,62475,Sacred Heart
2021,02/09,Hofstra Sacred Heart Round Robin,141,L,DEC,5 - 1,Vincent Vespa,41322,Hofstra,Jordan Carlucci,62475,Sacred Heart
