season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/03,MAC Championships,125,L,DEC,11 - 9,Tyler Klinsky,62353,Rider,Austin Macias,57088,Siu Edwardsville
2023,03/03,MAC Championships,125,L,DEC,4 - 2,Oscar Sanchez,57320,Ohio,Austin Macias,57088,Siu Edwardsville
2023,02/19,Northern Illinois - Southern Illinois Edwardsville Dual,125,L,MD,11 - 3,Blake West,73337,Northern Illinois,Austin Macias,57088,Siu Edwardsville
2023,02/12,Little Rock - Southern Illinois Edwardsville Dual,125,L,MD,15 - 7,Jeremiah Reno,62342,Little Rock,Austin Macias,57088,Siu Edwardsville
2023,02/12,Ohio - Southern Illinois Edwardsville Dual,125,L,DEC,10 - 3,Oscar Sanchez,57320,Ohio,Austin Macias,57088,Siu Edwardsville
2023,02/05,Greyhound Open,125,W,FALL,0:55,Taraen High,83577,Manchester,Austin Macias,57088,Siu Edwardsville
2023,02/05,Greyhound Open,125,W,TF5,16 - 0 7:00,Atticus Waddell,80696,Wabash,Austin Macias,57088,Siu Edwardsville
2023,02/05,Greyhound Open,125,L,MD,13 - 2,James Day,80659,Wabash,Austin Macias,57088,Siu Edwardsville
2023,02/05,Greyhound Open,125,W,DEC,7 - 5,Alex Cottey,73350,Marian University,Austin Macias,57088,Siu Edwardsville
2023,01/27,Southern Illinois Edwardsville - Kent State Dual,125,L,TF5,24 - 5 6:01,Jake Ferri,51179,Kent State,Austin Macias,57088,Siu Edwardsville
2023,12/16,Southern Illinois Edwardsville - Gardner-Webb Dual,125,L,FALL,2:52,Drew West,50041,Gardner-Webb,Austin Macias,57088,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,L,DEC,11 - 5,Davian Guanajuato,74863,SIU Edwardsville,Austin Macias,57088,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,L,TF5,17 - 0 7:00,Jayden Carson,62838,Little Rock,Austin Macias,57088,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,L,FALL,0:53,Jeremiah Reno,62342,Little Rock,Austin Macias,57088,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,W,DEC,7 - 3,Ben Lindley,62972,Lindenwood,Austin Macias,57088,Siu Edwardsville
2023,11/19,Lindenwood Open,125,L,FALL,5:49,Jaxson Roney,74263,University of the Ozarks,Austin Macias,57088,Siu Edwardsville
2023,11/19,Lindenwood Open,125,L,FALL,4:57,Christian Mejia,56521,McKendree University,Austin Macias,57088,Siu Edwardsville
2023,11/19,Lindenwood Open,125,W,DEC,8 - 1,Alec Bailey,70720,Lindenwood,Austin Macias,57088,Siu Edwardsville
2023,11/11,Rider - Southern Illinois Edwardsville Dual,125,L,MD,18 - 6,Tyler Klinsky,62353,Rider,Austin Macias,57088,Siu Edwardsville
2023,11/04,Indiana - Southern Illinois Edwardsville Dual,125,L,MD,13 - 2,Jacob Moran,63550,Indiana,Austin Macias,57088,Siu Edwardsville
2023,01/28,Southern Illinois Edwardsville - Cleveland State Dual,125,L,MD,11 - 3,Benjamin Aranda,71804,Cleveland State,Davian Guanajuato,74863,Siu Edwardsville
2023,01/28,Southern Illinois Edwardsville - George Mason Dual,125,L,TF5,24 - 9 5:57,Markel Baker,78892,George Mason,Davian Guanajuato,74863,Siu Edwardsville
2023,01/22,Lindenwood (Mo) - Southern Illinois Edwardsville Dual,125,W,DEC,8 - 6,Austin Kegley,70722,Lindenwood,Davian Guanajuato,74863,Siu Edwardsville
2023,01/15,Southern Illinois Edwardsville - Central Michigan Dual,125,L,TF5,16 - 0 7:00,Sean Spidle,63063,Central Michigan,Davian Guanajuato,74863,Siu Edwardsville
2023,01/08,Buffalo - Southern Illinois Edwardsville Dual,125,W,DEC,5 - 3,Mason Bush,72224,Buffalo,Davian Guanajuato,74863,Siu Edwardsville
2023,12/29,Midlands Championships,125,L,TF5,16 - 0 7:00,Colton Camacho,58029,Pittsburgh,Davian Guanajuato,74863,Siu Edwardsville
2023,12/29,Midlands Championships,125,L,FALL,3:46,Brandon Courtney,50881,Arizona State,Davian Guanajuato,74863,Siu Edwardsville
2023,12/16,Clarion - Southern Illinois Edwardsville Dual,125,L,DEC,4 - 3,Joseph Fischer,68702,Clarion,Davian Guanajuato,74863,Siu Edwardsville
2023,12/16,Chattanooga - Southern Illinois Edwardsville Dual,125,W,DEC,7 - 2,Logan Ashton,57605,Chattanooga,Davian Guanajuato,74863,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,W,DEC,11 - 5,Austin Macias,57088,SIU Edwardsville,Davian Guanajuato,74863,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,L,DEC,11 - 4,Jayden Carson,62838,Little Rock,Davian Guanajuato,74863,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,L,TF5,20 - 2 7:00,Jeremiah Reno,62342,Little Rock,Davian Guanajuato,74863,Siu Edwardsville
2023,12/04,Cougar Clash Invite,125,W,MD,13 - 3,Austin Kegley,70722,Lindenwood,Davian Guanajuato,74863,Siu Edwardsville
2023,11/19,Lindenwood Open,125,L,FALL,3:49,Zach Blankenship,78461,Oklahoma State,Davian Guanajuato,74863,Siu Edwardsville
2023,11/19,Lindenwood Open,125,W,DEC,7 - 2,Garrett Steidley,69908,Central Oklahoma,Davian Guanajuato,74863,Siu Edwardsville
2023,11/19,Lindenwood Open,125,W,DEC,4 - 2,Garrett Steidley,69908,Central Oklahoma,Davian Guanajuato,74863,Siu Edwardsville
2023,11/19,Lindenwood Open,125,L,TF5,18 - 0 7:00,Jayden Carson,62838,Little Rock,Davian Guanajuato,74863,Siu Edwardsville
2023,11/05,Kaufman Brand Maryville Open,125,W,DEC,4 - 0,Austin Pimentel,80235,Midland,Davian Guanajuato,74863,Siu Edwardsville
2023,11/05,Kaufman Brand Maryville Open,125,L,DEC,3 - 0,Luke Lilledahl,80223,High School,Davian Guanajuato,74863,Siu Edwardsville
2023,11/05,Kaufman Brand Maryville Open,125,L,SV-1,3 - 1,Christian Mejia,56521,McKendree University,Davian Guanajuato,74863,Siu Edwardsville
2023,11/05,Kaufman Brand Maryville Open,125,W,DEC,13 - 6,Reid Nelson,72129,Little Rock,Davian Guanajuato,74863,Siu Edwardsville
2023,03/03,MAC Championships,133,W,DEC,10 - 5,Vince Perez,60001,Central Michigan,Aaron Schulist,57012,Siu Edwardsville
2023,03/03,MAC Championships,133,L,DEC,10 - 4,Louis Newell,50916,Kent State,Aaron Schulist,57012,Siu Edwardsville
2023,03/03,MAC Championships,133,L,MD,11 - 2,Gable Strickland,71822,Lock Haven,Aaron Schulist,57012,Siu Edwardsville
2023,03/03,MAC Championships,133,W,FALL,1:26,Vince Perez,60001,Central Michigan,Aaron Schulist,57012,Siu Edwardsville
2023,02/19,Northern Illinois - Southern Illinois Edwardsville Dual,133,L,DEC,8 - 7,Lucian Brink,64945,Northern Illinois,Aaron Schulist,57012,Siu Edwardsville
2023,02/12,Little Rock - Southern Illinois Edwardsville Dual,133,W,MD,14 - 6,Joshua Sarpy,65932,Little Rock,Aaron Schulist,57012,Siu Edwardsville
2023,02/12,Ohio - Southern Illinois Edwardsville Dual,133,W,FALL,1:54,Nolan Frye,78918,Ohio,Aaron Schulist,57012,Siu Edwardsville
2023,01/28,Southern Illinois Edwardsville - Cleveland State Dual,133,W,SV-1,11 - 9,Jacob Manley,67785,Cleveland State,Aaron Schulist,57012,Siu Edwardsville
2023,01/27,Southern Illinois Edwardsville - Kent State Dual,133,W,DEC,3 - 2,Matt Ellis,75817,Kent State,Aaron Schulist,57012,Siu Edwardsville
2023,01/22,Lindenwood (Mo) - Southern Illinois Edwardsville Dual,133,W,DEC,7 - 1,Ben Lindley,62972,Lindenwood,Aaron Schulist,57012,Siu Edwardsville
2023,01/15,Southern Illinois Edwardsville - Central Michigan Dual,133,L,MD,13 - 5,Vince Perez,60001,Central Michigan,Aaron Schulist,57012,Siu Edwardsville
2023,12/16,Clarion - Southern Illinois Edwardsville Dual,133,W,FALL,6:23,Koen Kish,70988,Clarion,Aaron Schulist,57012,Siu Edwardsville
2023,12/16,Southern Illinois Edwardsville - Gardner-Webb Dual,133,L,MD,16 - 6,Todd Carter,69785,Gardner-Webb,Aaron Schulist,57012,Siu Edwardsville
2023,12/16,Chattanooga - Southern Illinois Edwardsville Dual,133,L,TF5,16 - 0 6:36,Brayden Palmer,59826,Chattanooga,Aaron Schulist,57012,Siu Edwardsville
2023,12/04,Cougar Clash Invite,133,W,DEC,8 - 4,Lucian Brink,64945,Northern Illinois,Aaron Schulist,57012,Siu Edwardsville
2023,12/04,Cougar Clash Invite,133,L,MD,16 - 3,Zeke Seltzer,72572,Missouri,Aaron Schulist,57012,Siu Edwardsville
2023,12/04,Cougar Clash Invite,133,W,FALL,3:56,Joshua Sarpy,65932,Little Rock,Aaron Schulist,57012,Siu Edwardsville
2023,12/04,Cougar Clash Invite,133,W,FALL,4:44,Caiden Pelc,79804,Lindenwood,Aaron Schulist,57012,Siu Edwardsville
2023,11/11,Rider - Southern Illinois Edwardsville Dual,133,L,DEC,9 - 7,Richie Koehler,51648,Rider,Aaron Schulist,57012,Siu Edwardsville
2023,11/04,Indiana - Southern Illinois Edwardsville Dual,133,L,FALL,5:22,Henry Porter,71920,Indiana,Aaron Schulist,57012,Siu Edwardsville
2023,01/28,Southern Illinois Edwardsville - George Mason Dual,133,W,DEC,2 - 0,Josh Jones,57073,George Mason,Marcel Lopez,78290,Siu Edwardsville
2023,01/21,Harper Open,133,W,TF5,18 - 3 7:00,Brian Wheatly,83723,Southwestern Michigan,Marcel Lopez,78290,Siu Edwardsville
2023,01/21,Harper Open,133,W,TF5,20 - 5 7:00,Chris Bullock,83072,Ancilla College,Marcel Lopez,78290,Siu Edwardsville
2023,01/21,Harper Open,133,W,DEC,5 - 2,Justin Fortugno,81005,Wisconsin-Whitewater,Marcel Lopez,78290,Siu Edwardsville
2023,01/21,Harper Open,133,W,DEC,6 - 4,Tuvsin Zunnbayan,75276,Harper College,Marcel Lopez,78290,Siu Edwardsville
2023,01/08,Buffalo - Southern Illinois Edwardsville Dual,133,W,DEC,7 - 2,Tommy Maddox,63165,Buffalo,Marcel Lopez,78290,Siu Edwardsville
2023,12/29,Midlands Championships,133,L,DEC,8 - 5,Taylor LaMont,44777,Wisconsin,Marcel Lopez,78290,Siu Edwardsville
2023,12/29,Midlands Championships,133,W,DEC,7 - 1,Blaine Frazier,78575,Indiana,Marcel Lopez,78290,Siu Edwardsville
2023,12/29,Midlands Championships,133,W,DEC,3 - 2,Ian Oswalt,71942,Brown,Marcel Lopez,78290,Siu Edwardsville
2023,12/29,Midlands Championships,133,L,DEC,3 - 2,Hunter Adrian,65842,Brown,Marcel Lopez,78290,Siu Edwardsville
2023,12/29,Midlands Championships,133,W,DEC,3 - 0,Josh Jones,57073,George Mason,Marcel Lopez,78290,Siu Edwardsville
2023,12/16,Clarion - Southern Illinois Edwardsville Dual,141,L,DEC,5 - 2,Seth Koleno,51157,Clarion,Marcel Lopez,78290,Siu Edwardsville
2023,12/16,Southern Illinois Edwardsville - Gardner-Webb Dual,141,L,DEC,4 - 3,Zach Price,50932,Gardner-Webb,Marcel Lopez,78290,Siu Edwardsville
2023,12/16,Chattanooga - Southern Illinois Edwardsville Dual,141,W,DEC,4 - 3,Francisco Valdes,49089,Chattanooga,Marcel Lopez,78290,Siu Edwardsville
2023,12/04,Cougar Clash Invite,133,W,DEC,3 - 2,Bryce West,50039,Northern Illinois,Marcel Lopez,78290,Siu Edwardsville
2023,12/04,Cougar Clash Invite,133,L,SV-1,7 - 5,Jace Koelzer,50912,Northern Colorado,Marcel Lopez,78290,Siu Edwardsville
2023,12/04,Cougar Clash Invite,133,L,DEC,8 - 1,Joshua Sarpy,65932,Little Rock,Marcel Lopez,78290,Siu Edwardsville
2023,11/19,Lindenwood Open,133,W,DEC,7 - 1,Gaige Owens,80995,Eureka,Marcel Lopez,78290,Siu Edwardsville
2023,11/19,Lindenwood Open,133,L,DEC,8 - 2,Dylan Lucas,79125,Central Oklahoma,Marcel Lopez,78290,Siu Edwardsville
2023,11/19,Lindenwood Open,133,W,DEC,3 - 2,Joey Semerad,67798,McKendree University,Marcel Lopez,78290,Siu Edwardsville
2023,11/19,Lindenwood Open,133,W,DEC,6 - 3,Ryan Ripplinger,57180,McKendree University,Marcel Lopez,78290,Siu Edwardsville
2023,11/19,Lindenwood Open,133,L,FALL,1:59,Zeke Seltzer,72572,Missouri,Marcel Lopez,78290,Siu Edwardsville
2023,03/16,NCAA Championships,141,L,DEC,3 - 2,Clay Carlson,56441,South Dakota State,Saul Ervin,57010,Siu Edwardsville
2023,03/16,NCAA Championships,141,W,DEC,5 - 2,Cleveland Belton,57334,Oregon State,Saul Ervin,57010,Siu Edwardsville
2023,03/16,NCAA Championships,141,L,DEC,3 - 2,Ryan Jack,61122,NC State,Saul Ervin,57010,Siu Edwardsville
2023,03/03,MAC Championships,141,L,DEC,2 - 0,Jaivon Jones,62724,Northern Illinois,Saul Ervin,57010,Siu Edwardsville
2023,03/03,MAC Championships,141,W,FALL,5:00,Caleb Rea,56445,Cleveland State,Saul Ervin,57010,Siu Edwardsville
2023,03/03,MAC Championships,141,L,FALL,0:57,Seth Koleno,51157,Clarion,Saul Ervin,57010,Siu Edwardsville
2023,03/03,MAC Championships,141,W,DEC,6 - 2,Jack Marlow,73355,Buffalo,Saul Ervin,57010,Siu Edwardsville
2023,02/19,Northern Illinois - Southern Illinois Edwardsville Dual,141,W,DEC,2 - 0,Jaivon Jones,62724,Northern Illinois,Saul Ervin,57010,Siu Edwardsville
2023,02/12,Little Rock - Southern Illinois Edwardsville Dual,141,W,FALL,7:25,Brennan Van Hoecke,74571,Little Rock,Saul Ervin,57010,Siu Edwardsville
2023,02/12,Ohio - Southern Illinois Edwardsville Dual,141,W,DEC,3 - 0,Kyran Hagan,49247,Ohio,Saul Ervin,57010,Siu Edwardsville
2023,01/28,Southern Illinois Edwardsville - Cleveland State Dual,141,W,MD,10 - 0,Caleb Rea,56445,Cleveland State,Saul Ervin,57010,Siu Edwardsville
2023,01/28,Southern Illinois Edwardsville - George Mason Dual,141,W,MD,10 - 2,Anthony Glasl,69714,George Mason,Saul Ervin,57010,Siu Edwardsville
2023,01/27,Southern Illinois Edwardsville - Kent State Dual,141,W,DEC,2 - 0,Louis Newell,50916,Kent State,Saul Ervin,57010,Siu Edwardsville
