season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,03/05,Big 12 Championships,125,W,TF5,18 - 1 5:51,Jesse Reed,40205,Northern Colorado,Ben Gillette,13275,South Dakota State
2016,03/05,Big 12 Championships,125,L,DEC,10 - 4,Kyle Larson,12069,Iowa State,Ben Gillette,13275,South Dakota State
2016,03/05,Big 12 Championships,125,L,FALL,1:23,Eddie Klimara,12136,Oklahoma State,Ben Gillette,13275,South Dakota State
2016,02/21,South Dakota State - North Dakota State Dual,125,L,FALL,6:31,Josh Rodriguez,13418,North Dakota State,Ben Gillette,13275,South Dakota State
2016,02/14,South Dakota State - Oklahoma Dual,125,L,DEC,10 - 3,Ryan Millhof,20815,Oklahoma,Ben Gillette,13275,South Dakota State
2016,02/12,West Virginia - South Dakota State Dual,125,L,DEC,4 - 1,Zeke Moisey,20472,West Virginia,Ben Gillette,13275,South Dakota State
2016,02/07,South Dakota State - Boise State Dual,125,W,DEC,8 - 6,Rami Haddadin,16069,Boise State,Ben Gillette,13275,South Dakota State
2016,02/05,South Dakota State - Utah Valley Dual,125,L,MD,13 - 5,Chasen Tolbert,13373,Utah Valley,Ben Gillette,13275,South Dakota State
2016,01/29,Wyoming - South Dakota State Dual,125,W,INJ,7:00,Drew Templeman,15167,Wyoming,Ben Gillette,13275,South Dakota State
2016,01/24,Air Force - South Dakota State Dual,125,W,MD,15 - 4,Drew Romero,20712,Air Force,Ben Gillette,13275,South Dakota State
2016,01/22,Southern Illinois Edwardsville - South Dakota State Dual,125,W,MD,11 - 2,Joe Antonelli,40200,SIU Edwardsville,Ben Gillette,13275,South Dakota State
2016,01/22,CSU Bakersfield - South Dakota State Dual,125,W,DEC,13 - 9,Sergio Mendez,15986,CSU Bakersfield,Ben Gillette,13275,South Dakota State
2016,01/15,South Dakota State - Northern Colorado Dual,125,W,TF5,18 - 3 7:00,Jesse Reed,40205,Northern Colorado,Ben Gillette,13275,South Dakota State
