season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2015,01/31,California Collegiate Open,125,W,DEC,13 - 10,Sergio Mendez,15986,CSU Bakersfield,Brian Rossi,20394,Stanford
2015,01/31,California Collegiate Open,125,W,DEC,9 - 5,Matt Gamble,19833,CSU Bakersfield,Brian Rossi,20394,Stanford
2015,12/21,Reno Tournament of Champions,125,W,FALL,6:29,KeVon Powell,13309,Ohio,Brian Rossi,20394,Stanford
2015,12/21,Reno Tournament of Champions,125,L,DEC,5 - 4,Matt Gamble,19833,CSU Bakersfield,Brian Rossi,20394,Stanford
2015,12/21,Reno Tournament of Champions,125,L,DEC,10 - 5,Isaac Blackburn,19734,Cal Poly,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,125,W,DEC,5 - 1,Luke Schlosser,24088,Providence,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,125,W,TF4,18 - 1 7:00,Isaac Galaviz,24087,Cumberland,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,197,W,FALL,4:00,Erik Medina,24104,Simpson,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,197,W,FALL,4:00,Amrit Singh,24107,Sacred Heart,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,197,W,DEC,5 - 0,Brad Hyatt,24100,Southern Oregon,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,157,W,MD,13 - 4,Samuel Duchene,21761,Menlo,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,141,W,MD,10 - 2,Chris Caldwell,15660,Boise State,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,125,L,DEC,8 - 7,Matthew Nguyen,23987,Southwest Minnesota State,Brian Rossi,20394,Stanford
2015,11/22,Nor Cal Invitational,125,W,MD,11 - 2,Casey Coulter,24090,Southern Oregon,Brian Rossi,20394,Stanford
2015,11/16,RoadRunner Open,125,W,FALL,1:17,Cody Karns,12199,North Carolina,Brian Rossi,20394,Stanford
2015,11/16,RoadRunner Open,125,L,DEC,5 - 3,Yoshito Funakoshi,19739,Cal Poly,Brian Rossi,20394,Stanford
2015,11/08,Northwestern - Stanford Dual,125,L,MD,15 - 5,Sean Russell,20727,Edinboro,Brian Rossi,20394,Stanford
2015,11/02,Michigan State Open,125,L,FALL,5:35,Aaron Assad,15239,Purdue,Brian Rossi,20394,Stanford
2015,11/02,Michigan State Open,125,L,FALL,1:24,Derek Elmore,13350,Northern Illinois,Brian Rossi,20394,Stanford
2015,03/01,PAC-12 Championships,141,L,DEC,6 - 2,Devin Reynolds,20294,Oregon State,Mason Pengilly,20392,Stanford
2015,03/01,PAC-12 Championships,141,L,DEC,8 - 2,Matt Kraus,11779,Arizona State,Mason Pengilly,20392,Stanford
2015,03/01,PAC-12 Championships,141,W,MFOR,0 - 0,Colton Schilling,12033,Cal Poly,Mason Pengilly,20392,Stanford
2015,02/14,Stanford - South Dakota State Dual,141,L,DEC,7 - 2,Luke Zilverberg,13633,South Dakota State,Mason Pengilly,20392,Stanford
2015,02/13,Stanford - Nebraska Dual,141,L,DEC,6 - 1,Anthony Abidin,11584,Nebraska,Mason Pengilly,20392,Stanford
