season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2019,02/17,The Citadel - Appalachian State Dual,125,L,FALL,5:49,De'Andre Swinson,50576,Appalachian State,Anthony New,57182,The Citadel
2019,02/08,The Citadel - Chattanooga Dual,125,L,TF5,17 - 2 4:58,Alonzo Allen,19765,Chattanooga,Anthony New,57182,The Citadel
2019,02/03,Campbell - The Citadel Dual,125,L,FALL,4:53,Korbin Meink,49074,Campbell,Anthony New,57182,The Citadel
2019,01/26,All Academy Championships,125,W,DEC,11 - 6,Parker Brunkala,50478,Coast Guard,Anthony New,57182,The Citadel
2019,01/26,All Academy Championships,125,L,DEC,4 - 3,Ryan Hetrick,45638,Army West Point,Anthony New,57182,The Citadel
2019,01/26,All Academy Championships,125,L,MD,8 - 0,Sidney Flores,49031,Air Force,Anthony New,57182,The Citadel
2019,12/20,Reno Tournament of Champions,125,W,DEC,6 - 5,Zeth Brower,56243,Clackamas Community College,Anthony New,57182,The Citadel
2019,12/20,Reno Tournament of Champions,125,L,FALL,4:56,Logan Griffin,40454,Michigan State,Anthony New,57182,The Citadel
2019,12/20,Reno Tournament of Champions,125,L,FALL,4:16,Jeremy Trihn,50849,Fresno State,Anthony New,57182,The Citadel
2019,11/18,Wolfpack Open,125,L,FALL,6:58,King Sandoval,57116,Maryland,Anthony New,57182,The Citadel
2019,11/18,Wolfpack Open,125,W,MD,13 - 5,Ryan More,45164,Virginia Tech,Anthony New,57182,The Citadel
2019,11/18,Wolfpack Open,125,W,MD,13 - 5,Tommy Cox,44623,NC State,Anthony New,57182,The Citadel
2019,11/18,Wolfpack Open,125,L,TF5,20 - 4 7:00,Alonzo Allen,19765,Chattanooga,Anthony New,57182,The Citadel
2019,11/11,Journeyman Open,125,L,TF5,17 - 2 6:17,Joey Thomas,51008,West Virginia,Anthony New,57182,The Citadel
2019,11/11,Journeyman Open,125,L,FALL,6:50,Dylan Ryder,50876,Hofstra,Anthony New,57182,The Citadel
2019,11/11,Journeyman Open,125,W,MD,14 - 5,Lucas Rodriguez,51061,Edinboro,Anthony New,57182,The Citadel
2019,11/10,The Citadel - Sacred Heart Dual,125,L,DEC,5 - 4,Anthony Petrillo,56356,Sacred Heart,Anthony New,57182,The Citadel
2019,11/10,The Citadel - Edinboro Dual,125,L,DEC,9 - 4,Lucas Rodriguez,51061,Edinboro,Anthony New,57182,The Citadel
2019,11/10,Drexel - The Citadel Dual,125,L,DEC,3 - 2,Antonio Mininno,50806,Drexel,Anthony New,57182,The Citadel
2019,11/04,Hokie Open,125,W,TF5,16 - 1 2:50,Elijah Hicks,57429,King,Anthony New,57182,The Citadel
2019,11/04,Hokie Open,125,L,MFOR,0 - 0,John Watts,56284,Coker,Anthony New,57182,The Citadel
2019,11/04,Hokie Open,125,L,DEC,14 - 8,Jakob Camacho,50655,NC State,Anthony New,57182,The Citadel
2019,01/19,Northern Illinois - The Citadel Dual,125,L,FALL,1:29,Bryce West,50039,Northern Illinois,William Jacobs,51363,The Citadel
2019,01/19,Hofstra - The Citadel Dual,125,L,FALL,2:22,Dylan Ryder,50876,Hofstra,William Jacobs,51363,The Citadel
2019,12/20,Reno Tournament of Champions,125,L,FALL,5:32,Landon Obra-Nakata,55312,Pacific,William Jacobs,51363,The Citadel
2019,12/20,Reno Tournament of Champions,125,L,FALL,2:52,Brandon Kaylor,51198,Oregon State,William Jacobs,51363,The Citadel
2019,11/18,Wolfpack Open,125,L,FALL,0:18,King Sandoval,57116,Maryland,William Jacobs,51363,The Citadel
2019,11/18,Wolfpack Open,125,L,TF5,16 - 1 2:22,Hunter Graf,51359,Virginia Tech,William Jacobs,51363,The Citadel
2019,11/11,Journeyman Open,125,L,FALL,3:38,Logan Ninos,50923,Ithaca,William Jacobs,51363,The Citadel
2019,11/11,Journeyman Open,125,L,TF5,15 - 0 7:00,Matthew Templeton,56397,Hofstra,William Jacobs,51363,The Citadel
2019,11/11,Journeyman Open,125,L,FALL,0:54,Christian Schilling,57651,Bloomsburg,William Jacobs,51363,The Citadel
