season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2019,03/09,Big 12 Championships,125,W,TF5,16 - 0 4:13,Gregory Coapstick,57179,South Dakota State,Mitch Brown,40325,Utah Valley
2019,03/09,Big 12 Championships,125,L,TF5,17 - 2 5:59,Nick Piccininni,39547,Oklahoma State,Mitch Brown,40325,Utah Valley
2019,03/09,Big 12 Championships,125,L,DEC,4 - 3,Alex Mackall,44577,Iowa State,Mitch Brown,40325,Utah Valley
2019,03/09,Big 12 Championships,125,W,DEC,4 - 2,Sidney Flores,49031,Air Force,Mitch Brown,40325,Utah Valley
2019,02/15,Utah Valley - Northern Colorado Dual,125,W,DEC,10 - 8,Rico Montoya,39862,Northern Colorado,Mitch Brown,40325,Utah Valley
2019,11/30,Cliff Keen Invitational,133,L,MD,22 - 8,Nick Suriano,44648,Rutgers,Mitch Brown,40325,Utah Valley
2019,11/30,Cliff Keen Invitational,133,L,TF5,24 - 9 7:00,Cameron Sykora,39757,North Dakota State,Mitch Brown,40325,Utah Valley
2019,11/30,Cliff Keen Invitational,133,W,MD,12 - 4,Adam Velasquez,51704,Cal Baptist,Mitch Brown,40325,Utah Valley
2019,11/18,Utah Valley - Wisconsin Dual,133,L,SV-1,7 - 5,Jens Lantz,20484,Wisconsin,Mitch Brown,40325,Utah Valley
2019,11/17,Harper College - Utah Valley Dual,133,W,FALL,3:24,Manny Ramirez,59566,Harper College,Mitch Brown,40325,Utah Valley
2019,11/17,Utah Valley - Clarion Dual,133,W,FALL,7:00,Seth Koleno,51157,Clarion,Mitch Brown,40325,Utah Valley
2019,11/17,Utah Valley - Northern Illinois Dual,133,L,TF5,16 - 1 7:00,Alijah Jeffery,20204,Northern Illinois,Mitch Brown,40325,Utah Valley
2019,11/11,Journeyman Open,133,L,MD,12 - 4,Malcolm Robinson,49472,Rutgers,Mitch Brown,40325,Utah Valley
2019,11/11,Journeyman Open,133,W,FALL,2:54,Trent Olson,44718,Hofstra,Mitch Brown,40325,Utah Valley
2019,11/11,Journeyman Open,133,W,MD,14 - 0,Lewis Williams,40291,Bloomsburg,Mitch Brown,40325,Utah Valley
2019,11/10,Utah Valley - Niagara Community College Dual,133,W,FALL,2:00,CJ Walz,52914,Niagara Community College,Mitch Brown,40325,Utah Valley
2019,11/10,Utah Valley - Nebraska Dual,133,L,DEC,13 - 6,Tucker Sjomeling,49209,Nebraska,Mitch Brown,40325,Utah Valley
2019,11/10,Utah Valley - Rutgers Dual,133,L,MD,14 - 2,Nick Suriano,44648,Rutgers,Mitch Brown,40325,Utah Valley
2019,01/19,UVU Open,125,W,TF5,17 - 2 6:51,Dalton Stutzman,58346,Western Wyoming College,William Edelblute,57059,Utah Valley
2019,01/19,UVU Open,125,W,DEC,3 - 2,Josiah Nava,57057,Utah Valley,William Edelblute,57059,Utah Valley
2019,11/18,Roadrunner Open,125,W,MFOR,0 - 0,Nathan Cervantez,45653,San Francisco State,William Edelblute,57059,Utah Valley
2019,11/18,Roadrunner Open,125,W,FALL,6:56,Marco Rivera,57971,Otero Junior College,William Edelblute,57059,Utah Valley
2019,11/18,Roadrunner Open,125,W,DEC,9 - 5,Cody Cabanban,46710,Menlo,William Edelblute,57059,Utah Valley
2019,11/18,Roadrunner Open,125,L,FALL,4:29,Nathan Cervantez,45653,San Francisco State,William Edelblute,57059,Utah Valley
2019,11/18,Roadrunner Open,125,W,DEC,6 - 4,Brandon Vu,21743,San Francisco State,William Edelblute,57059,Utah Valley
2019,11/18,Roadrunner Open,125,W,DEC,5 - 2,Eddie Flores,51127,CSU Bakersfield,William Edelblute,57059,Utah Valley
2019,11/03,Cowboy Open,125,L,DEC,5 - 4,Julian Tagg,58261,High School,William Edelblute,57059,Utah Valley
2019,11/03,Cowboy Open,125,W,MFOR,0 - 0,Josiah Nava,57057,Utah Valley,William Edelblute,57059,Utah Valley
2019,11/03,Cowboy Open,125,L,FALL,1:32,Zeth Brower,56243,Clackamas Community College,William Edelblute,57059,Utah Valley
2019,11/03,Cowboy Open,125,W,FALL,3:53,Van Schmidt,51111,Nebraska-Kearney,William Edelblute,57059,Utah Valley
2019,11/03,Cowboy Open,125,W,DEC,4 - 2,Graham Shore,50580,Air Force Prep,William Edelblute,57059,Utah Valley
2019,02/10,Rocky Mountain Collegiate Open,125,W,DEC,8 - 1,Graham Shore,50580,Air Force Prep,Josiah Nava,57057,Utah Valley
2019,02/10,Rocky Mountain Collegiate Open,125,W,DEC,5 - 2,Stephen Dabelko,61678,Northwest Kansas Technical College,Josiah Nava,57057,Utah Valley
2019,02/10,Rocky Mountain Collegiate Open,125,W,MD,10 - 2,Devin Cross,58252,Northwest Kansas Technical College,Josiah Nava,57057,Utah Valley
2019,02/10,Rocky Mountain Collegiate Open,125,L,DEC,3 - 1,Jace Koelzer,50912,Northern Colorado,Josiah Nava,57057,Utah Valley
2019,02/10,Rocky Mountain Collegiate Open,125,W,TF5,17 - 0 4:11,Jake Stogdill,53083,Colorado School Of Mines,Josiah Nava,57057,Utah Valley
