season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2019,03/21,NCAA Championships,125,L,DEC,5 - 0,Spencer Lee,49146,Iowa,Jack Mueller,45232,Virginia
2019,03/21,NCAA Championships,125,W,DEC,8 - 2,Sebastian Rivera,44799,Northwestern,Jack Mueller,45232,Virginia
2019,03/21,NCAA Championships,125,W,TB-2,4 - 1,Ronnie Bresser,25183,Oregon State,Jack Mueller,45232,Virginia
2019,03/21,NCAA Championships,125,W,MD,13 - 3,Michael McGee,49264,Old Dominion,Jack Mueller,45232,Virginia
2019,03/21,NCAA Championships,125,W,FALL,1:27,Gage Curry,44583,American,Jack Mueller,45232,Virginia
2019,03/09,ACC Championships,125,W,MD,13 - 3,Joe Heilmann,51223,North Carolina,Jack Mueller,45232,Virginia
2019,03/09,ACC Championships,125,W,MD,10 - 2,Sean Fausz,20126,NC State,Jack Mueller,45232,Virginia
2019,02/22,Pittsburgh - Virginia Dual,125,W,TF5,19 - 2 3:50,Brendon Fenton,50938,Pittsburgh,Jack Mueller,45232,Virginia
2019,02/16,Virginia - Virginia Tech Dual,125,W,DEC,6 - 2,Joey Prata,44734,Virginia Tech,Jack Mueller,45232,Virginia
2019,02/01,North Carolina State - Virginia Dual,125,W,TF5,16 - 1 2:30,Zurich Storm,50138,NC State,Jack Mueller,45232,Virginia
2019,01/26,Virginia - North Carolina Dual,125,W,MD,11 - 2,Joe Heilmann,51223,North Carolina,Jack Mueller,45232,Virginia
2019,01/20,Ohio - Virginia Dual,125,W,MD,9 - 1,Shakur Laney,39917,Ohio,Jack Mueller,45232,Virginia
2019,01/18,Virginia - VMI Dual,125,W,FALL,1:21,Cliff Conway,50304,VMI,Jack Mueller,45232,Virginia
2019,01/12,Virginia - Virginia Tech Dual,125,W,TF5,21 - 6 7:00,Kyle Norstrem,45110,Virginia Tech,Jack Mueller,45232,Virginia
2019,01/12,Virginia - Arizona State Dual,125,W,TF5,16 - 1 7:00,Brandon Courtney,50881,Arizona State,Jack Mueller,45232,Virginia
2019,01/11,Lock Haven - Virginia Dual,125,W,TF5,17 - 1 7:00,Luke Werner,50282,Lock Haven,Jack Mueller,45232,Virginia
2019,12/30,Lehigh - Virginia Dual,125,W,MD,13 - 4,Luke Resnick,51027,Lehigh,Jack Mueller,45232,Virginia
