season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2014,03/20,NCAA Championships,125,W,DEC,6 - 5,Jarrod Patterson,37237,Oklahoma,Joey Dance,12221,Virginia Tech
2014,03/20,NCAA Championships,125,L,DEC,6 - 1,Nico Megaludis,12051,Penn State,Joey Dance,12221,Virginia Tech
2014,03/20,NCAA Championships,125,W,DEC,4 - 1,Darian Cruz,12135,Lehigh,Joey Dance,12221,Virginia Tech
2014,03/20,NCAA Championships,125,W,DEC,3 - 2,Ryan Taylor,12219,Wisconsin,Joey Dance,12221,Virginia Tech
2014,03/20,NCAA Championships,125,W,DEC,10 - 6,Conor Youtsey,13271,Michigan,Joey Dance,12221,Virginia Tech
2014,03/20,NCAA Championships,125,L,DEC,6 - 1,Jesse Delgado,13252,Illinois,Joey Dance,12221,Virginia Tech
2014,03/20,NCAA Championships,125,W,DEC,6 - 1,Paul Petrov,12116,Bucknell,Joey Dance,12221,Virginia Tech
2014,03/20,NCAA Championships,125,W,DEC,10 - 8,Dylan Peters,13253,Northern Iowa,Joey Dance,12221,Virginia Tech
2014,03/08,ACC Championship,125,L,TB-1,5 - 4,Nathan Kraisser,20783,North Carolina,Joey Dance,12221,Virginia Tech
2014,03/08,ACC Championship,125,W,MD,13 - 4,Micah Perez,13294,NC State,Joey Dance,12221,Virginia Tech
2014,03/08,ACC Championship,125,W,DEC,7 - 4,Nick Herrmann,12144,Virginia,Joey Dance,12221,Virginia Tech
2014,02/23,Ohio State - Virginia Tech Dual,125,W,DEC,10 - 3,Nick Roberts,13272,Ohio State,Joey Dance,12221,Virginia Tech
2014,02/17,Virginia Tech - Central Michigan Dual,125,W,DEC,6 - 1,Corey Keener,12111,Central Michigan,Joey Dance,12221,Virginia Tech
2014,02/17,Virginia Tech - Cornell Dual,125,L,DEC,7 - 2,Nahshon Garrett,12070,Cornell,Joey Dance,12221,Virginia Tech
2014,02/17,Virginia Tech - Chattanooga Dual,125,W,MD,16 - 3,Byron Smith,12132,Chattanooga,Joey Dance,12221,Virginia Tech
2014,02/16,Virginia Tech - Central Michigan Dual,125,W,DEC,6 - 1,Corey Keener,12111,Central Michigan,Joey Dance,12221,Virginia Tech
2014,02/16,Virginia Tech - Cornell Dual,125,L,DEC,7 - 2,Nahshon Garrett,12070,Cornell,Joey Dance,12221,Virginia Tech
