season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,03/08,SoCon Championships,125,L,FALL,3:32,Jordan White,62179,The Citadel,John McGarry,62382,Vmi
2020,03/08,SoCon Championships,125,L,FALL,1:41,Sean Carter,62808,Appalachian State,John McGarry,62382,Vmi
2020,02/23,VMI - Appalachian State Dual,125,L,TF5,17 - 2 5:44,Sean Carter,62808,Appalachian State,John McGarry,62382,Vmi
2020,02/22,VMI - The Citadel Dual,125,L,FALL,1:20,Jordan White,62179,The Citadel,John McGarry,62382,Vmi
2020,02/22,VMI - Presbyterian Dual,125,L,MD,17 - 5,Jacob Brasseur,61212,Presbyterian,John McGarry,62382,Vmi
2020,02/15,Campbell - VMI Dual,125,L,TF5,17 - 0 2:42,Korbin Meink,49074,Campbell,John McGarry,62382,Vmi
2020,02/14,Gardner-Webb - VMI Dual,125,L,MD,16 - 3,Will Edmiston,62402,Gardner-Webb,John McGarry,62382,Vmi
2020,02/07,VMI - Bloomsburg Dual,125,L,FALL,2:11,Christian Gannone,62458,Bloomsburg,John McGarry,62382,Vmi
2020,01/25,All-Academy Championship,125,W,FALL,2:30,Alex Puglio,52484,Merchant Marine,John McGarry,62382,Vmi
2020,01/25,All-Academy Championship,125,W,FALL,0:33,Jordan White,62179,The Citadel,John McGarry,62382,Vmi
2020,01/25,All-Academy Championship,125,L,FALL,1:25,Logan Treaster,49205,Navy,John McGarry,62382,Vmi
2020,01/19,Chattanooga - VMI Dual,125,L,FALL,2:23,Fabian Gutierrez,45245,Chattanooga,John McGarry,62382,Vmi
2020,01/18,VMI - Virginia Dual,125,L,FALL,0:58,Jack Mueller,45232,Virginia,John McGarry,62382,Vmi
2020,01/12,VMI - Sacred Heart Dual,125,L,FALL,2:11,Kyle Randall,56471,Sacred Heart,John McGarry,62382,Vmi
2020,01/10,California Baptist (Calif) - VMI Dual,125,L,FALL,2:21,Keanu Perez,57267,Cal Baptist,John McGarry,62382,Vmi
2020,01/10,Cleveland State - VMI Dual,125,L,FALL,1:11,Logan Heil,57515,Cleveland State,John McGarry,62382,Vmi
2020,01/10,Clarion - VMI Dual,125,L,DEC,9 - 2,Cameron Butler,44660,Clarion,John McGarry,62382,Vmi
2020,01/01,Southern Scuffle,125,W,FALL,3:33,Jakob Camacho,50655,NC State,John McGarry,62382,Vmi
2020,01/01,Southern Scuffle,125,L,TF5,17 - 0 3:52,Logan Treaster,49205,Navy,John McGarry,62382,Vmi
2020,01/01,Southern Scuffle,125,L,MD,13 - 0,Caleb Smith,58559,Appalachian State,John McGarry,62382,Vmi
2020,12/22,VMI - Hofstra Dual,125,L,FALL,1:59,Dylan Ryder,50876,Hofstra,John McGarry,62382,Vmi
2020,12/22,VMI - Edinboro Dual,125,W,FALL,3:53,Lucas Rodriguez,51061,Edinboro,John McGarry,62382,Vmi
2020,12/22,VMI - West Virginia Dual,125,L,FALL,1:30,Joey Thomas,51008,West Virginia,John McGarry,62382,Vmi
2020,12/06,VMI - Long Island University-Post Dual,125,L,FALL,3:32,James Ryan,61391,LIU,John McGarry,62382,Vmi
2020,12/06,VMI - George Mason Dual,125,W,FALL,4:37,Talha Farooq,45317,George Mason,John McGarry,62382,Vmi
2020,11/24,Keystone Classic,125,W,FALL,0:35,Carson Smith,62812,Appalachian State,John McGarry,62382,Vmi
2020,11/24,Keystone Classic,125,L,TF5,18 - 2 3:00,Sean Carter,62808,Appalachian State,John McGarry,62382,Vmi
2020,11/24,Keystone Classic,125,L,FALL,1:29,Michael Colaiocco,56733,Pennsylvania,John McGarry,62382,Vmi
