season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2024,03/21,NCAA Championships,125,L,FALL,1:41,Eli Griffin,68743,Cal Baptist,Jett Strickenberger,74382,West Virginia
2024,03/21,NCAA Championships,125,L,MD,13 - 4,Nico Provo,65883,Stanford,Jett Strickenberger,74382,West Virginia
2024,03/09,Big 12 Championships,125,W,CMFF,0 - 0,Noah Surtin,56715,Missouri,Jett Strickenberger,74382,West Virginia
2024,03/09,Big 12 Championships,125,W,FALL,4:58,Kysen Terukina,67143,Iowa State,Jett Strickenberger,74382,West Virginia
2024,03/09,Big 12 Championships,125,L,DEC,8 - 4,Troy Spratley,73119,Oklahoma State,Jett Strickenberger,74382,West Virginia
2024,03/09,Big 12 Championships,125,W,DEC,15 - 8,Trever Anderson,76359,Northern Iowa,Jett Strickenberger,74382,West Virginia
2024,03/09,Big 12 Championships,125,W,DEC,12 - 9,Stevo Poulin,71929,Northern Colorado,Jett Strickenberger,74382,West Virginia
2024,03/09,Big 12 Championships,125,W,FALL,6:37,Tucker Owens,71711,Air Force,Jett Strickenberger,74382,West Virginia
2024,02/18,Glenville State College - West Virginia Dual,125,W,TF5,16 - 1 4:36,Hunter Ross,73071,Glenville State University,Jett Strickenberger,74382,West Virginia
2024,02/04,West Virginia - Northern Iowa Dual,125,W,DEC,9 - 6,Trever Anderson,76359,Northern Iowa,Jett Strickenberger,74382,West Virginia
2024,02/02,West Virginia - Iowa State Dual,125,L,DEC,10 - 7,Kysen Terukina,67143,Iowa State,Jett Strickenberger,74382,West Virginia
2024,01/28,Mat-Town Open II,125,W,TF5,19 - 3 2:05,Luke Sirianni,84262,United States Military Academy,Jett Strickenberger,74382,West Virginia
2024,01/28,Mat-Town Open II,125,L,DEC,8 - 2,Jax Forrest,81114,Unattached,Jett Strickenberger,74382,West Virginia
2024,01/28,Mat-Town Open II,125,W,TF5,17 - 2 2:55,Grayson McLellan,79295,Bucknell,Jett Strickenberger,74382,West Virginia
2024,01/28,Mat-Town Open II,125,W,FALL,6:32,Logan Sallot,79291,Lock Haven,Jett Strickenberger,74382,West Virginia
2024,01/28,Mat-Town Open II,125,W,MD,15 - 5,Charlie Farmer,71771,Army West Point,Jett Strickenberger,74382,West Virginia
2024,01/07,West Virginia - Columbia Dual,133,W,FALL,4:46,Yianni Vines,72655,Columbia,Jett Strickenberger,74382,West Virginia
2024,12/29,Midlands Championships,125,L,DEC,6 - 4,Tyler Klinsky,62353,Rider,Jett Strickenberger,74382,West Virginia
2024,12/29,Midlands Championships,125,L,DEC,4 - 1,Ethan Spacht,86340,North Central,Jett Strickenberger,74382,West Virginia
2024,12/10,West Virginia - Northern Colorado Dual,125,W,DEC,11 - 6,Stevo Poulin,71929,Northern Colorado,Jett Strickenberger,74382,West Virginia
2024,12/08,West Virginia - Air Force Dual,125,W,DEC,10 - 8,Tucker Owens,71711,Air Force,Jett Strickenberger,74382,West Virginia
2024,12/03,Oklahoma - West Virginia Dual,125,L,DEC,6 - 4,Conrad Hendriksen,80186,Oklahoma,Jett Strickenberger,74382,West Virginia
2024,11/16,West Virginia - Clarion Dual,125,W,DEC,8 - 4,Joseph Fischer,68702,Clarion,Jett Strickenberger,74382,West Virginia
2024,11/12,Duke - West Virginia Dual,125,W,FALL,1:34,Logan Agin,62979,Duke,Jett Strickenberger,74382,West Virginia
2024,11/12,Cleveland State - West Virginia Dual,125,W,MD,18 - 9,Nick Molchak,78590,Cleveland State,Jett Strickenberger,74382,West Virginia
2024,11/12,Kent State - West Virginia Dual,125,W,TF5,20 - 4 6:12,Nico Calello,73713,Kent State,Jett Strickenberger,74382,West Virginia
2024,11/04,Southeast Open,125,W,FALL,3:50,Kyle Montaperto,73138,Virginia,Jett Strickenberger,74382,West Virginia
2024,11/04,Southeast Open,125,W,SV-1,4 - 1,Brandon Kaylor,51198,Oregon State,Jett Strickenberger,74382,West Virginia
2024,01/28,West Virginia - Morgan State Dual,125,W,TF5,18 - 1 3:00,Julian Dawson,84955,Morgan State,Jace Schafer,73377,West Virginia
2024,01/26,Missouri - West Virginia Dual,125,L,TF5,17 - 2 6:35,Noah Surtin,56715,Missouri,Jace Schafer,73377,West Virginia
2024,01/14,Oklahoma State - West Virginia Dual,125,L,MD,12 - 1,Troy Spratley,73119,Oklahoma State,Jace Schafer,73377,West Virginia
2024,01/07,West Virginia - Columbia Dual,125,L,FALL,4:56,Nick Babin,65929,Columbia,Jace Schafer,73377,West Virginia
2024,12/29,Midlands Championships,125,L,DEC,9 - 2,Cooper Flynn,72148,Virginia Tech,Jace Schafer,73377,West Virginia
2024,12/29,Midlands Championships,125,L,MD,11 - 2,Jacob Moran,63550,Indiana,Jace Schafer,73377,West Virginia
2024,12/19,Fairmont State - West Virginia Dual,125,W,FALL,1:22,Brandan Meyers,79984,Fairmont State,Jace Schafer,73377,West Virginia
2024,12/03,Patriot Open,125,W,FALL,1:40,JB Dragovich,78828,George Mason,Jace Schafer,73377,West Virginia
2024,12/03,Patriot Open,125,W,DEC,5 - 0,Brady Pruett,73565,Pennsylvania,Jace Schafer,73377,West Virginia
2024,12/03,Patriot Open,125,W,INJ,2:17,Shamil Kalmatov,72680,American,Jace Schafer,73377,West Virginia
2024,12/03,Patriot Open,125,L,FALL,6:02,Anthony Noto,64642,Lock Haven,Jace Schafer,73377,West Virginia
2024,12/03,Patriot Open,125,W,DEC,7 - 5,Tyler Klinsky,62353,Rider,Jace Schafer,73377,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,W,DEC,3 - 0,Mason Mills,84408,West Virginia,Jace Schafer,73377,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,L,FALL,3:34,Jax Forrest,81114,Unattached,Jace Schafer,73377,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,W,MD,16 - 4,Nic Allison,78492,Kutztown,Jace Schafer,73377,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,W,FALL,0:32,Joshua Jasionowicz,74393,East Stroudsburg,Jace Schafer,73377,West Virginia
2024,02/04,West Virginia - Northern Iowa Dual,133,L,TF5,22 - 5 5:24,Julian Farber,65843,Northern Iowa,Mason Mills,84408,West Virginia
2024,02/02,West Virginia - Iowa State Dual,133,L,TF5,17 - 1 3:54,Evan Frost,72948,Iowa State,Mason Mills,84408,West Virginia
2024,12/29,Midlands Championships,125,L,TF5,17 - 0 7:00,Eric Barnett,56753,Wisconsin,Mason Mills,84408,West Virginia
2024,12/29,Midlands Championships,125,L,DEC,8 - 6,Davian Guanajuato,74863,SIU Edwardsville,Mason Mills,84408,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,L,DEC,3 - 0,Jace Schafer,73377,West Virginia,Mason Mills,84408,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,W,TF5,16 - 1 2:15,Bryson Gingrich,88483,Thaddeus Stevens College Of Tech,Mason Mills,84408,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,W,MD,15 - 5,Brenden Smay,81556,Kutztown,Mason Mills,84408,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,L,DEC,6 - 0,Nick Treaster,89471,Unattached,Mason Mills,84408,West Virginia
2024,11/18,Shorty Hitchcock Memorial,125,W,MD,15 - 5,Bryce Beatty,72599,Millersville,Mason Mills,84408,West Virginia
2024,11/04,Southeast Open,125,L,INJ,3:16,Anthony Aniciete,78617,Tiffin University,Mason Mills,84408,West Virginia
2024,11/04,Southeast Open,125,W,FALL,2:34,Tony Burke,78464,VMI,Mason Mills,84408,West Virginia
2024,11/04,Southeast Open,125,W,MD,10 - 1,Bentley Ellison,84471,Campbell,Mason Mills,84408,West Virginia
2024,11/04,Southeast Open,125,W,FALL,2:35,Zander Phaturos,73554,Campbell,Mason Mills,84408,West Virginia
2024,02/03,Edinboro Open,125,L,FALL,3:40,Tyler Chappell,79287,Pittsburgh,Matthew Dolan,78805,West Virginia
2024,02/03,Edinboro Open,125,W,FALL,4:58,Zach Starr,79789,Kent State,Matthew Dolan,78805,West Virginia
2024,02/03,Edinboro Open,125,L,DEC,6 - 1,Grant Stahl,84287,Central Michigan,Matthew Dolan,78805,West Virginia
2024,02/03,Edinboro Open,125,W,FALL,1:36,Kenny Schmitz,84914,Gannon,Matthew Dolan,78805,West Virginia
2024,01/28,Mat-Town Open II,125,L,DEC,9 - 6,Tyler Chappell,79287,Pittsburgh,Matthew Dolan,78805,West Virginia
2024,01/28,Mat-Town Open II,125,L,MD,11 - 1,Brady Pruett,73565,Pennsylvania,Matthew Dolan,78805,West Virginia
2024,01/07,Bobby Kauffman Memorial Open,125,W,MD,18 - 9,Julian Dawson,84955,Morgan State,Matthew Dolan,78805,West Virginia
2024,01/07,Bobby Kauffman Memorial Open,125,L,TF5,20 - 5 2:39,Greg Diakomihalis,61116,Cornell,Matthew Dolan,78805,West Virginia
2024,01/07,Bobby Kauffman Memorial Open,125,W,MD,18 - 5,Eamonn Jimenez,78779,Edinboro,Matthew Dolan,78805,West Virginia
2024,01/07,Bobby Kauffman Memorial Open,125,W,SV-1,5 - 2,Caleb Edwards,72216,Edinboro,Matthew Dolan,78805,West Virginia
2024,03/09,Big 12 Championships,133,L,DEC,8 - 3,Kase Mauger,65846,Utah Valley,Davin Rhoads,68739,West Virginia
2024,03/09,Big 12 Championships,133,L,MD,12 - 3,Julian Farber,65843,Northern Iowa,Davin Rhoads,68739,West Virginia
2024,02/18,Glenville State College - West Virginia Dual,133,L,DEC,11 - 4,Gavin Quiocho,73218,Glenville State University,Davin Rhoads,68739,West Virginia
2024,01/26,Missouri - West Virginia Dual,133,L,FALL,2:56,Kade Moore,73859,Missouri,Davin Rhoads,68739,West Virginia
2024,01/14,Oklahoma State - West Virginia Dual,133,L,TF5,19 - 4 3:43,Daton Fix,49263,Oklahoma State,Davin Rhoads,68739,West Virginia
2024,12/29,Midlands Championships,133,L,TF5,19 - 3 7:00,Michael Colaiocco,56733,Pennsylvania,Davin Rhoads,68739,West Virginia
2024,12/29,Midlands Championships,133,L,FALL,4:13,Vince Perez,60001,Central Michigan,Davin Rhoads,68739,West Virginia
2024,12/19,Fairmont State - West Virginia Dual,133,W,MD,16 - 4,Nathan Pelesky,79985,Fairmont State,Davin Rhoads,68739,West Virginia
2024,12/10,West Virginia - Northern Colorado Dual,133,L,TF5,19 - 4 2:52,Dominick Serrano,61120,Northern Colorado,Davin Rhoads,68739,West Virginia
2024,12/08,West Virginia - Air Force Dual,133,L,DEC,5 - 3,Brenden Barnes,71704,Air Force,Davin Rhoads,68739,West Virginia
2024,12/03,Oklahoma - West Virginia Dual,133,L,MD,12 - 4,Jace Koelzer,50912,Oklahoma,Davin Rhoads,68739,West Virginia
2024,11/12,Duke - West Virginia Dual,133,W,DEC,11 - 6,Raymond Adams,84586,Duke,Davin Rhoads,68739,West Virginia
2024,11/12,Cleveland State - West Virginia Dual,133,L,DEC,8 - 2,Jacob Manley,67785,Cleveland State,Davin Rhoads,68739,West Virginia
2024,11/12,Kent State - West Virginia Dual,133,L,DEC,6 - 2,Pablo Castro,79792,Kent State,Davin Rhoads,68739,West Virginia
