season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2015,03/19,NCAA Championships,125,L,SV-1,3 - 1,Ronnie Bresser,25183,Oregon State,Tyler Cox,13326,Wyoming
2015,03/19,NCAA Championships,125,L,DEC,3 - 2,Jesse Delgado,13252,Illinois,Tyler Cox,13326,Wyoming
2015,03/19,NCAA Championships,125,W,DEC,8 - 5,Dylan Peters,13253,Northern Iowa,Tyler Cox,13326,Wyoming
2015,03/07,WWC Championships,125,W,DEC,9 - 5,Josh Martinez,12145,Air Force,Tyler Cox,13326,Wyoming
2015,03/07,WWC Championships,125,L,DEC,3 - 1,Josh Rodriguez,13418,North Dakota State,Tyler Cox,13326,Wyoming
2015,02/15,Boise State - Wyoming Dual,125,W,DEC,14 - 12,Carson Kuhn,16532,Boise State,Tyler Cox,13326,Wyoming
2015,02/13,Oregon State - Wyoming Dual,125,W,DEC,9 - 3,Ronnie Bresser,25183,Oregon State,Tyler Cox,13326,Wyoming
2015,02/06,Wyoming - Oklahoma Dual,125,W,DEC,4 - 3,Ryan Millhof,20815,Oklahoma,Tyler Cox,13326,Wyoming
2015,02/06,Wyoming - Oklahoma State Dual,125,L,DEC,11 - 9,Eddie Klimara,12136,Oklahoma State,Tyler Cox,13326,Wyoming
2015,02/01,North Dakota State University - Wyoming Dual,125,L,TB-3,9 - 7,Josh Rodriguez,13418,North Dakota State,Tyler Cox,13326,Wyoming
2015,01/30,South Dakota State - Wyoming Dual,125,W,MD,8 - 0,Isaac Andrade,13269,South Dakota State,Tyler Cox,13326,Wyoming
2015,01/17,Wyoming - Utah Valley University Dual,125,W,MD,14 - 4,Chasen Tolbert,13373,Utah Valley,Tyler Cox,13326,Wyoming
2015,01/09,Wyoming - Cal Poly Dual,125,W,FALL,3:55,Isaac Blackburn,19734,Cal Poly,Tyler Cox,13326,Wyoming
2015,01/01,Southern Scuffle,125,L,DEC,3 - 2,Tim Lambert,13256,Nebraska,Tyler Cox,13326,Wyoming
2015,01/01,Southern Scuffle,125,L,DEC,8 - 4,Sean Boyle,19766,Chattanooga,Tyler Cox,13326,Wyoming
2015,01/01,Southern Scuffle,125,L,MD,11 - 3,Nahshon Garrett,12070,Cornell,Tyler Cox,13326,Wyoming
2015,01/01,Southern Scuffle,125,W,SV-1,9 - 7,Brent Fleetwood,19750,Central Michigan,Tyler Cox,13326,Wyoming
2015,01/01,Southern Scuffle,125,W,MD,17 - 7,Dom Forys,20323,Pittsburgh,Tyler Cox,13326,Wyoming
2015,01/01,Southern Scuffle,125,W,DEC,6 - 1,Scott Parker,19985,Lehigh,Tyler Cox,13326,Wyoming
